id,a_est,a_se,Tmin_est,Tmin_se,Tmax_est,Tmax_se,Value,Topt_se,starting_a,starting_Tmin,starting_Tmax
40,4.1062214836606463e-4,2.065282633830495e-5,10.16687611742312,0.42753156176304696,27.55252830926846,0.033387611343323874,23.341773764108616,0.07055675226642764,1.1e-4,-5,30.5
41,4.821592399631364e-6,2.177896411985549e-5,-355.155062006347,1686.0913187810902,27.656441648899477,0.40326480548137456,18.73564161636468,1.091201439228873,7.000000000000001e-5,-4,27.5
41,7.668186634859499e-6,2.907381892694892e-5,-216.43021840011363,889.4008967736274,27.645974364410304,0.5293699089748256,18.89895673961471,1.4126663219771751,7.000000000000001e-5,-4,27.5
41,1.3707590215138506e-6,1.779952618907641e-5,-1262.2150489463975,16644.264815932314,27.66491339532553,0.2056441604836465,18.53137890119524,1.0648335052617597,7.000000000000001e-5,-3,27.5
41,6.015169082395164e-8,1.5297666921521693e-5,-29072.395963424406,7398714.646309055,27.663350216122247,0.1569390229051422,18.446129824896342,0.9388498631287956,7.000000000000001e-5,-3,27.5
41,7.168487647701919e-6,2.0959956801607724e-005,-232.99396184936225,734.9533258314386,27.654429889670098,0.3582286865816954,18.87490813095932,1.0525928370123252,7.000000000000001e-5,-4,27.5
41,5.890039439603115e-6,1.8504625655982146e-5,-287.6443293540051,961.3137656855198,27.658232404839246,0.3199653304829653,18.80109147896628,0.9399328110964942,7.000000000000001e-5,-4,27.5
41,8.929258979228664e-7,1.1707134190485675e-5,-1974.4157648076796,26141.84703402789,27.6586911596625,0.13750918206864585,18.49581997518508,0.6908051087136636,7.000000000000001e-5,-3,27.5
41,7.584235731843297e-7,2.2354420254263887e-5,-2277.8742247756104,67723.36970149868,27.661463715844864,0.24170091617709974,18.490206799241243,1.3651631277779588,7.000000000000001e-5,-3,27.5
41,2.7575681386770753e-6,3.163491754558324e-5,-634.1122422556475,7482.12239375283,27.656808582970115,0.5949493423183626,18.609831962585805,1.6165985176332403,7.000000000000001e-5,-3,27.5
41,7.204729344193172e-6,2.2583216754172357e-5,-230.53028672867384,780.1877850472655,27.65398833725823,0.3868800110997972,18.878811955323066,1.1395583602891515,7.000000000000001e-5,-4,27.5
41,6.045625540407178e-6,3.061594574682665e-5,-278.8691722193171,1503.7748711525458,27.654969288044075,0.5737548177369658,18.80926569887214,1.5061529822609117,7.000000000000001e-5,-4,27.5
41,5.915258576552889e-7,1.2708072567941554e-5,-3039.9402721202246,65710.28506703806,27.655861288459327,0.19702221030190253,18.47421507281688,0.7018854652739401,7.000000000000001e-5,-3,27.5
41,5.360726615640696e-6,1.4102165118670064e-5,-310.67136988577045,868.9653276782823,27.654366917087412,0.15340128950678816,18.773627572255236,0.8166020705859652,7.000000000000001e-5,-4,27.5
41,1.0084467919998533e-6,1.685478593495435e-5,-1711.534277673609,28938.702861306436,27.66281490731937,0.1753426313222644,18.507171788063808,1.0294152803144458,7.000000000000001e-5,-3,27.5
41,1.233993225653496e-5,1.964347183685723e-5,-121.97972666958552,225.82823284802677,27.639214209390904,0.19067510040959654,19.191744518696378,1.0946187044746805,7.000000000000001e-5,-4,27.5
41,1.0095188803436204e-6,1.8669074239377192e-5,-1720.9586455578522,32190.81210522715,27.656766509017046,0.20204974690817298,18.50275883755821,1.1273937127282172,7.000000000000001e-5,-3,27.5
42,3.9039405934718566e-4,8.84010039324245e-5,6.25738794715035,1.5996192120263695,26.158086866739502,0.7783783278217313,21.657865746521242,0.5383239441320369,3.400000000000001e-4,5,26.5
