a_est_nls,a_se_nls,Tmin_est_nls,Tmin_se_nls,Tmax_est_nls,Tmax_se_nls,Topt_est,Topt_se_delta,a_est_boot,a_se_boot,Tmin_est_boot,Tmin_se_boot,Tmax_est_boot,Tmax_se_boot,starting_a,starting_Tmin,starting_Tmax,which_signif,id
7.831224725364973e-5,2.1733104782823657e-5,3.8912817342736536,4.71491797486629,33.43635475376307,0.3562883257604801,27.168228867518273,0.5251896387212062,7.757557705020458e-5,1.4894727074970487e-5,3.131117647505266,4.038866238209529,33.51183539645256,0.3163701702907479,8e-5,4.5,33.5,"a,Tmax",1
2.54753058930204e-4,8.9878028300758e-5,19.884808049161787,2.0685700098990836,35.366241104822365,0.4665488034848649,31.21102522713277,0.49310629355784674,2.4784692242867676e-4,4.454908919101505e-5,19.713344628817413,1.0527461088767278,35.478757557873685,0.23797400375773756,2.5e-4,20,35.5,Tmax,10
1.1870821260528935e-4,1.7237615391524236e-4,-5.590917740849138,39.31191916328147,30.113938508029197,0.48461085357396694,23.59129020381961,3.0651910010191203,1.46504964047669e-4,9.600376841934318e-5,-34.0235304847238,155.81009631514783,30.476132165627643,0.6567872402631494,2.7e-4,10,30,Tmax,100
2.97129030093974e-4,3.324802457482432e-5,5.0692853693991715,1.4503822499305679,28.220560415883735,0.133471628640157,23.145716305788916,0.18476164037101572,2.957512297122456e-4,3.0815481459810404e-5,4.895356899536867,1.420154304966964,28.245760351811263,0.13438134810515445,2.7e-4,4,28.5,all,103
9.161557934326447e-5,1.3887412275368917e-6,13.54246307464348,0.11292861323428216,30.012235510189317,0.0027512938060038562,25.844800293552474,0.020212566897741185,9.164120176637922e-5,6.737936413792978e-7,13.542494975945425,0.05429483362612066,30.012210100591485,0.0013642827754895884,9e-5,13.5,30,all,104
1.1610592615941602e-4,5.3615429009783245e-5,17.12774879711271,3.1275939963844777,38.71609178675427,2.486766171564364,33.27912752092872,1.655297493643558,1.0938417854937766e-4,3.617840951183987e-5,16.080073781731638,3.5358917361796607,41.496567437578484,16.105669429882337,1.1000000000000002e-4,17,39,"Tmin,Tmax",105
4.426949656270961e-4,2.3786218550538507e-4,2.480844972033933,6.086613448418716,31.23857421995482,3.6347558580355215,25.251759885188886,2.311449735683299,4.5291182976569654e-4,1.7763784870279694e-4,0.38504283455279,8.84646213653258,33.119917722983175,8.259804464021107,6.000000000000001e-4,5.5,29.5,Tmax,106
4.5391967176106164e-5,4.49373301385921e-5,3.9704675674925856,11.809639987344582,40.942276499882816,11.942744179300684,33.17613912549749,8.532276040200207,4.7649353174055855e-5,2.0697801646414952e-5,0.7610322975661817,14.22066915956566,50.46921571783015,59.69716879948155,8e-5,10,36.5,Tmax,107
1.2203605869655105e-4,1.1175939415899316e-5,17.527034803279623,0.7266175334762992,35.920735417434315,0.1989530795981479,31.17465841132337,0.15816449304176877,1.2161834764990108e-4,7.048209020569347e-6,17.48241836417771,0.4832043046636868,35.935164616475305,0.12931257021278159,1.2e-4,17.5,36,all,109
1.4664625178576564e-4,1.5161516887472422e-6,6.9334097533240655,0.12791127530186197,31.406117936128783,0.022093636690783822,25.925259510766317,0.015304304595996888,1.4661752727888262e-4,7.344372941809981e-7,6.930435308798606,0.06225338169024702,31.406544564323266,0.010627402126292618,1.8e-4,9,31,all,11
1.924317658636166e-4,1.0216934299994748e-5,10.7376829181341,0.5123757451987773,39.910809131611764,0.43622917984907456,33.20948308498545,0.3043919010724592,1.923243591894157e-4,6.544149557485251e-6,10.727516501241404,0.32826084371915837,39.92629271223079,0.2823802799061544,1.8999999999999998e-4,10.5,40,all,110
2.206193145451853e-4,2.1156535650776554e-5,11.530279325480091,0.9087029338259515,38.92708898580671,0.6610520955614955,32.54294082801433,0.45638888968790675,2.2028784743992704e-4,1.3884925141461568e-5,11.491281603515953,0.593787548651484,38.961171720728345,0.4418470524385398,2.2e-4,11.5,39,all,111
2.44422579200435e-4,2.262765337269517e-5,11.479622686638143,0.9764098140938103,37.105439916968216,0.3760879360820741,31.092214098707892,0.25467876449948584,2.4388957121834932e-4,1.4215386683590946e-5,11.426650054757749,0.6261774828996327,37.12931795090089,0.23953914501226795,2.5e-4,11.5,37,all,112
1.8748187331723515e-4,1.1058266195874618e-6,10.092463916388743,0.05766584553082984,40.80566222540061,0.05553659928672997,33.830708049373,0.03916990241537486,1.874687220599484e-4,6.894596532839661e-7,10.0922408399711,0.0363582038120319,40.806182747971654,0.0344953480123107,2e-4,10.5,40,all,113
1.851902641452447e-4,1.4611245094050647e-5,10.247807105004542,0.7483960280857886,41.21152116056698,0.7967062734550916,34.17474549929783,0.5674720197103811,1.8512264497878785e-4,9.392342440617986e-6,10.223053601891454,0.4749304677925125,41.24392871432652,0.5204953891819981,2e-4,11,40.5,all,114
