a_est,a_se,tmin,tmin_se,tmax,tmax_se,topt,topt_se,start_a,start_tmin,start_tmax,id,authors,Year,title,DOI,vi,order,family,genus,species,feeding_guild,lat,sd_median,thermal_breadth...25,t50_left...26,t50_right...27,tsm,therm_range,thermal_breadth...30,t50_left...31,t50_right...32,therm_window,thermal_breadth...34,t50_left...35,t50_right...36,thermal_breadth
-1.1345750830117614,7.520874347838394e-6,-1.591897368294663,1.2170398233666515,-0.43998018842198106,0.3520620803871201,-0.7493591311559437,0.2826937875690125,6e-5,1,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,17.7575,15.5342,33.2917,0.6725814721394974,0.873700179093264,17.7575,15.5342,33.2917,0.9126858899574132,17.7575,15.5342,33.2917,0.6871466949616416
-0.8871465590188758,8.470287440864773e-6,-1.5400683677276406,1.2428736896459769,-0.4139871806946291,0.35331260478704624,-0.7214526422150123,0.2818986709600037,8e-5,4,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,17.6825,15.6752,33.3577,0.6687722411149983,0.8377262519927198,17.6825,15.6752,33.3577,0.8853444671596088,17.6825,15.6752,33.3577,0.6817637498852067
-0.9862119300591385,8.199841435010014e-6,-1.385902428989873,1.223524040093597,-0.4696680009433965,0.3080749083053076,-0.7167251743797305,0.2569734866331854,7.000000000000001e-5,4,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,17.357600000000005,15.9092,33.2668,0.6017657191919954,0.7151529098486472,17.357600000000005,15.9092,33.2668,0.7721112432245947,17.357600000000005,15.9092,33.2668,0.6416252953316508
-0.5338481435964938,8.922321669151376e-6,-1.020430633141641,0.9338098079968492,-0.42328494288311774,0.31528312621076676,-0.6664913552890968,0.25353109464434015,9e-5,6,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,16.744699999999998,16.589000000000002,33.3337,0.42128950993055436,0.580751766781575,16.744699999999998,16.589000000000002,33.3337,0.5923133518116923,16.744699999999998,16.589000000000002,33.3337,0.4527508551605388
-1.1994839914430724,7.987081543815335e-6,-1.6925876651314662,1.419189882717763,-0.4034047602371148,0.379083795608755,-0.7501649929331611,0.3013501335997896,7.000000000000001e-5,3,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,18.0047,15.3696,33.3743,0.7057561338127895,0.9426229701350102,18.0047,15.3696,33.3743,0.9705024254849346,18.0047,15.3696,33.3743,0.7206636132169895
-0.9435721109199603,8.632289410900653e-6,-1.5962325037376293,1.316096137802662,-0.3247261393536796,0.44241876781812994,-0.7010810636922057,0.3390676869487545,8e-5,4,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,17.893600000000003,15.6339,33.5275,0.6933231213999219,0.8980202433129142,17.893600000000003,15.6339,33.5275,0.9322379011688736,17.893600000000003,15.6339,33.5275,0.7041960676183372
-1.0122725267099622,7.997297888695685e-6,-1.6824803705738858,1.2423140148054568,-0.3208804749738176,0.4824081150243352,-0.7120136706141982,0.3668840285812512,9e-5,5,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,18.074200000000005,15.4572,33.531400000000005,0.7135824112025225,0.9483306246438884,18.074200000000005,15.4572,33.531400000000005,0.9783269976178885,18.074200000000005,15.4572,33.531400000000005,0.731751283987619
-1.2184362085954512,9.119702801566316e-6,-1.8109691252491973,1.5920253856622455,-0.14315844405329495,0.69958608440469106,-0.6748717005024704,0.5157803250573887,9e-5,5,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,18.563700000000004,15.3536,33.917300000000004,0.7977768461252381,1.0474265048850093,18.563700000000004,15.3536,33.917300000000004,1.1162377296365467,18.563700000000004,15.3536,33.917300000000004,0.8325526243349674
-1.562357116698089,8.604053015073105e-6,-1.9662317658913548,1.9263978074860697,-0.23048045854284901,0.7124587178815097,-0.719086899440696,0.5292333590249872,6e-5,1,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,18.7075,15.0136,33.7211,0.8222716111405145,1.1173728201185322,18.7075,15.0136,33.7211,1.184626768181064,18.7075,15.0136,33.7211,0.8648230417042713
-1.1207867610583748,8.07310012382609e-6,-1.7293981322272893,1.3894780182317956,-0.23235520776795027,0.4957595691182629,-0.6879173114198193,0.37025488549314967,8e-5,4,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,18.2657,15.454,33.7197,0.7397264104353541,0.9842349604463249,18.2657,15.454,33.7197,1.023507488295837,18.265700000000002,15.454,33.7197,0.7639401448715145
