id,a_est,a_se,Tmin_est,Tmin_se,Tmax_est,Tmax_se,Topt_est,Topt_se,starting_a,starting_Tmin,starting_Tmax
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5.455804175070229e-5,1.431685022298567e-5,0.3119982860157191,3.1656907193081434,35.59525116960508,1.3958175583260894,28.50757243541209,0.9328699766481269,5e-5,-2,35.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5.9420403055074e-5,1.6937890916572264e-5,-0.785140550502457,6.120513131739057,33.89058081510709,0.49876847593814083,27.035074364118145,0.5359927653159869,5e-5,-3,34.5
1,7.889800099612868e-5,1.606670713385586e-5,3.6362940646506137,3.7391261449102946,33.314179458809555,0.2350676836610034,27.041184397484347,0.41622408308913444,7.000000000000001e-5,2,33.5
1,8.107870143690026e-5,1.687416942214772e-5,4.163993285550868,3.440448329837356,33.47732262634466,0.2823736563846587,27.232727283270368,0.38789601611025315,8e-5,4,33.5
1,9.7930124494633e-5,1.3130503850076905e-5,6.491991795409639,2.0738103642714085,33.279044928463975,0.15344175014394348,27.359824723061383,0.26329104753916877,9e-5,6,33.5
1,7.665355894294607e-5,1.7663212501496444e-5,3.459758630030587,3.996486340992712,33.875927940930886,0.44836170925476515,27.469969745904997,0.4374894839782726,6e-5,0,34.5
1,8.55928964937404e-5,1.6424001512855624e-5,5.385127829099009,3.0312878011102637,33.62594494762216,0.3247706369968047,27.497723518559333,0.36618780361156983,9e-5,6,33.5
1,6.974839996001018e-5,1.6337415352146238e-5,3.321770102512592,4.039998842109864,33.6927818966068,0.3910916653144832,27.30791409637093,0.4369959040859331,7.000000000000001e-5,3,33.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5.2179118672872246e-5,1.1272090967746651e-5,-0.009118108410413939,2.678271539255079,36.46788702649907,1.5078893814449745,29.173397952828612,1.039858675986132,6e-5,1,35.5
1,8.29827117085752e-5,1.6119205101400865e-5,5.510463464924435,2.6887006266531515,33.806598803670866,0.3853375432580185,27.65729465068669,0.3472972547434728,9e-5,6,33.5
1,6.455968605381727e-5,1.3976273353074816e-5,1.895657576021406,2.3157308701467625,35.00429260652042,0.92989511374326,28.19959302631681,0.6155792208585332,7.000000000000001e-5,2,34.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6.808258922708625e-5,1.6831753068661658e-5,3.0377692561933065,2.750392801643503,34.49572073518108,0.7861118485899873,27.91783156331768,0.5126666982344359,6e-5,0,34.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8.567307212742603e-5,1.5670014150500837e-5,4.616872279845825,3.179659058399808,33.41261416993184,0.24882893480740914,27.234535974415337,0.3677393131147498,8e-5,4,33.5
1,6.949773098934213e-5,1.681551760024481e-5,1.671076514282007,4.826380049676645,33.57384465625941,0.3611272710916246,27.031513387444477,0.4821618127317972,7.000000000000001e-5,2,33.5
1,8.138468501521663e-5,1.623200348655271e-5,4.3784052161353975,3.18509324922525,33.75341433358637,0.36281883536799897,27.478474290449753,0.36864172518464655,9e-5,6,33.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5.815154695965898e-5,1.6637754478556626e-5,0.3370191468465373,5.746278695526234,33.78444035045474,0.4728155495274148,27.061465369130985,0.5331024674383317,6e-5,0,33.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6.892027037210425e-5,1.8432438906058103e-5,1.295784550867586,5.5832326962027405,33.28693571942052,0.2921332448138419,26.76234183627771,0.564725923137661,6e-5,-1,33.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6.810930887974179e-5,1.8908422628723683e-5,1.6813450896508169,5.7468694403453755,33.517216164352526,0.42197903152529526,26.98731333815465,0.5747624286595582,7.000000000000001e-5,2,33.5
1,9.666995885567203e-5,1.816436664845923e-5,6.053711740406601,3.2128235314352076,33.414881158129226,0.289079957715223,27.41241774792478,0.3944401325890366,9e-5,5,33.5
1,4.3932226440662464e-5,1.4120947192872098e-5,-2.780129727279083,4.855730532836487,35.55095038582326,1.4697587917378065,28.17581834964733,0.917452596200621,6e-5,2,34.5
1,7.38368397424378e-5,1.4387782740264145e-5,3.3819165322515223,3.8006090059006277,33.16924943870997,0.18985024496708602,26.896279586708953,0.42468806940710613,6e-5,0,33.5
1,5.9911000275828896e-5,1.3885084876875085e-5,1.4292717816915186,2.6390239632016845,35.69886784862117,1.3190611364874003,28.70567051444001,0.8987243195673277,5e-5,-1,36.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6.044938082854076e-5,1.2833770985585403e-5,1.9274510588967675,2.5066044364685136,34.73813628893635,0.755052790537172,27.990127171106888,0.4855802160605132,6e-5,1,34.5
1,8.600420731079525e-5,1.8035726202764257e-5,3.96462398045795,3.7562825822290944,33.66586878402146,0.3596997726310157,27.36012589907021,0.41627900624392017,9e-5,5,33.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7.232196445857607e-5,1.6091884318871056e-5,2.7300431520199844,4.364933054714163,33.32901873035465,0.27158501472102897,26.950784305209357,0.4667473258039327,7.000000000000001e-5,3,33.5
1,6.039386723609056e-5,1.5896214014361447e-5,1.3648350411151164,3.742073368659075,34.3530736644323,0.6915281001413586,27.622399703514485,0.45721267971295904,6e-5,1,34.5
1,8.022936015523508e-5,1.7081380142701806e-5,5.159744688490522,3.143316027805618,33.73492360602533,0.39059262149112944,27.557207600188413,0.3847729948443936,9e-5,6,33.5
1,1.0133623373671505e-4,1.7080243888258732e-5,6.514098789572648,2.7642388883190017,33.26173008089092,0.20490229417615113,27.34886014070234,0.35131921823198187,9e-5,5,33.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8.855024119529888e-5,1.5469401550166372e-5,5.0949208644107165,3.1350646642759616,33.26431259342391,0.21620141333458975,27.173646665176545,0.3733323836239052,8e-5,4,33.5
1,4.861213541418564e-5,1.296420532754716e-5,-0.8175666444902884,3.4596774336724896,36.00242510416361,1.5871808081162981,28.721330711366562,1.065250974297987,6e-5,2,35.5
1,7.801509366130632e-5,1.6151619921997543e-5,2.8379780174555305,4.187100892076104,33.17781543935646,0.21732628552206049,26.84189043654855,0.4566084274488446,7.000000000000001e-5,2,33.5
1,8.261893575529684e-5,1.5473871226306697e-5,4.585193535366298,3.097886915178808,33.49697754775339,0.2690545289621706,27.2981400699289,0.35710295958444105,8e-5,4,33.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5.4538227622848425e-5,1.8957792413228596e-5,-2.557747522739857,8.391373592493231,33.643093001661796,0.5145479965123391,26.67040312248925,0.6941883423368227,6e-5,0,33.5
1,7.253163077858879e-5,1.4443727663871104e-5,3.668557263126552,2.065296801581096,34.45718102570756,0.6372642399242626,27.958358989297626,0.4203897572398103,7.000000000000001e-5,3,34.5
1,6.554258507656729e-5,1.6690193403122884e-5,2.176541342373435,3.041529570549215,34.577105523826674,0.8216135379783034,27.888176890597844,0.52771648335236,7.000000000000001e-5,3,34.5
1,8.336553896194183e-5,1.4405825103715852e-5,4.735429855018638,2.631325480861423,33.72759694918739,0.3099855895376014,27.500232660815954,0.3122961379392753,9e-5,6,33.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5.816136540189438e-5,1.3971664552299153e-5,0.026281836966471905,4.22263219289672,34.176713249416025,0.521736378906091,27.3440000468834,0.40168675899390294,5e-5,-3,34.5
1,9.191411264073806e-5,1.3900599059961873e-5,5.607101369667362,2.5148697060380627,33.20144549329245,0.14681806846509307,27.186337394067408,0.3076834794601987,8e-5,4,33.5
1,7.221297701109906e-5,1.6298257284880835e-5,2.6058038276214757,4.306992664276954,33.46790566563781,0.3082510732719584,27.04809225919363,0.4524262273293181,7.000000000000001e-5,2,33.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6.608208821407074e-5,1.5578113765695675e-5,3.185490052559828,2.8522148361925153,34.40972105282873,0.6995551327023668,27.865637286043942,0.4636980650007614,6e-5,1,34.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8.088466175372611e-5,1.6812512788876287e-5,4.640227612945868,3.7315461549910722,33.16108917720584,0.18711649869068836,27.036451753763544,0.43969375292795077,7.000000000000001e-5,3,33.5
1,8.905210378910509e-5,1.718652830050667e-5,4.787739953183714,3.4010006903979617,33.346768016479494,0.24953809986776235,27.202387166943332,0.39774366505301223,8e-5,3,33.5
1,8.958495211182718e-5,1.3412298673769654e-5,5.181799973874059,2.494516662528201,33.20231016904544,0.13797557323859302,27.13472834194088,0.29918544469775815,8e-5,4,33.5
1,7.133246689945112e-5,1.7400196517870596e-5,2.723902838274979,4.151199379430014,33.89359572044424,0.46932100198345955,27.401513733042965,0.4416681716440518,8e-5,4,33.5
1,7.460165409551779e-5,1.3740379257009177e-5,4.4246765649859,1.8867894202126043,34.46305946748537,0.6082203322913349,28.05080015336383,0.40904192402924894,7.000000000000001e-5,3,34.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9.718297858974509e-5,1.7920157605390067e-5,5.678840508032382,3.2301345013766887,33.17845455186058,0.19526716694361268,27.176901937359595,0.39731414744137206,8e-5,3,33.5
1,7.718511301694788e-5,1.4363422466227757e-5,4.666736310569141,1.8535737179380152,34.33009360712158,0.565870962540036,27.973218397791708,0.3817804110380012,7.000000000000001e-5,3,34.5
1,5.4653205310732825e-5,1.7636932711463174e-5,-1.552005041060052,7.137184715436645,33.82677385889986,0.5276128376621086,26.910568561276555,0.6056593403559888,6e-5,0,33.5
1,8.836133512078243e-5,1.4171986624446713e-5,5.7713421425418066,2.430229661123397,33.30337320909419,0.1749922398309993,27.28808093879577,0.2971058564375051,8e-5,5,33.5
1,6.959076563165422e-5,1.6539575031721423e-5,2.681186374014897,3.6903190284739344,34.03546935656105,0.5112776739242573,27.510229048902534,0.411875350843871,6e-5,0,34.5
1,7.217135307520896e-5,1.7838719525925516e-5,1.3734760374447665,4.969362940658578,33.5884295398345,0.36847656253504085,27.01167421946254,0.4893289538884177,8e-5,3,33.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6.462738834557437e-5,1.6648828427139005e-5,2.3860230185055555,3.2874960097278105,34.3766860164317,0.7218748919471369,27.750669503353244,0.47366664326276153,6e-5,1,34.5
1,8.954477986916321e-5,1.562563670320581e-5,5.531633146042361,3.0315254143031325,33.1949178653742,0.18279116540486262,27.171785070557178,0.37019337120164686,8e-5,4,33.5
1,7.855326026337142e-5,1.4466641287841311e-5,4.252273851615357,2.912328098283176,33.68806760339745,0.3128728252901267,27.411437090299444,0.33324595987475614,8e-5,4,33.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5.917948895311718e-5,1.450212056197343e-5,1.0144173224729478,2.890462230217616,35.117003146154836,1.0601143159954194,28.196902417977896,0.6908753745704215,5e-5,-2,35.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7.000000000000001e-5,1.5932240380724456e-5,3,2.665598285214391,34.5,0.7180392984936638,27.91703446314641,0.47017620899719587,7.000000000000001e-5,3,34.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6.993161440889727e-5,1.5057756301856823e-5,2.3182296861483453,3.845416942932617,33.61324542324089,0.31800723977480455,27.132764770576653,0.39408420360771135,7.000000000000001e-5,2,33.5
1,8.474337512039139e-5,1.4636680705886579e-5,2.9562213720405484,3.3625795921099004,33.173914053020944,0.154695473173997,26.851974337612283,0.3689613270779558,8e-5,3,33.5
1,7.583087665859166e-5,1.603243050459372e-5,4.235924440527748,2.323280226571625,34.298858969781605,0.6095780257202856,27.897480611102615,0.4116662231338259,7.000000000000001e-5,3,34.5
1,8.068085867879671e-5,1.4991733078113154e-5,4.600029869154857,2.703799191784443,33.8321124804264,0.3634969123555915,27.567565401322526,0.3279853735391185,9e-5,6,33.5
1,7.4166373247407e-5,1.75769898364316e-5,3.5417203277231355,3.820737198357585,33.81610067241096,0.4400538185124588,27.43149425603658,0.42517792498809465,8e-5,4,33.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8.751602793230115e-5,1.541523289245671e-5,5.349872150483816,3.017041822915038,33.36439962051021,0.2369058848945134,27.28465696556338,0.36172304648362047,8e-5,4,33.5
1,6.248753876325569e-5,1.4131296153773423e-5,2.949336899254826,2.3147346523780703,34.820172868954025,0.9026621221680154,28.16736593243312,0.6001619490529476,6e-5,1,34.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9.657581726613009e-5,1.4894419439885458e-5,6.5806880051445065,2.16578428158526,33.40613924770561,0.20440654188296462,27.47252022646656,0.2772141885339558,1e-4,7,33.5
1,7.916649002191883e-5,1.5990222052878002e-5,3.9970503525979506,2.913150812120651,33.923937444601606,0.41780338041367643,27.570093613555105,0.3499989169849897,9e-5,5,33.5
1,9.586177505265706e-5,1.5862226531980333e-5,6.393851478968087,2.629943756710787,33.24019713681807,0.1796720088570058,27.316290811150274,0.33277649931723574,9e-5,6,33.5
1,6.943571133207173e-5,1.727830667199444e-5,2.8286490326916733,4.594117393794042,33.70749932771749,0.42208096288509606,27.264340671728725,0.4822997090151974,8e-5,5,33.5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5.180105920868035e-5,1.653015872032153e-5,-1.5097705650159008,5.479419898793388,34.627395891618946,0.8936481700640492,27.55496547660163,0.5644109234180869,5e-5,-3,34.5
1,8.296734035417894e-5,1.5181793394134981e-5,4.364969522439157,2.9952589080660554,33.615552832368614,0.29397503750397985,27.36676630266466,0.34223589678806005,9e-5,5,33.5
1,6.603051204495345e-5,1.5323600618234563e-5,3.104663338815134,3.0596229934740578,34.189722103551446,0.5787699896472583,27.68068936747676,0.40460905887932996,6e-5,2,34.5
1,6.16083282196026e-5,1.8389220263558667e-5,0.5074603955410156,6.040826192481823,33.70947600745005,0.4696937474732397,27.01880791277609,0.5669889928889291,7.000000000000001e-5,3,33.5
1,9.492352027105268e-5,1.56402752336354e-5,5.7617771426043305,2.6727800298995943,33.30901376214638,0.19633152571618223,27.29138830653651,0.3276079774427597,9e-5,5,33.5
1,7.900684293544818e-5,1.5248798111964347e-5,5.339259125793608,3.2956612810703287,33.16133828628648,0.17038102446257472,27.121290512050166,0.3997744319645068,7.000000000000001e-5,4,33.5
1,7.267834662739599e-5,1.5438182887367472e-5,2.9245220839427386,3.90420257809339,33.38437075672431,0.2532412777634775,27.016683352546544,0.41791981569027936,7.000000000000001e-5,3,33.5
2,5e-5,3.822542875479769e-6,13,0.41746566504654903,34.5,0.5067107032415658,29.27108465097374,0.36753569846958445,5e-5,13,34.5
2,3.0000000000000004e-5,5.1780754162013205e-6,10,1.0683746448203533,38.5,2.395644599190364,31.985286158193354,1.7973141166568771,3.0000000000000004e-5,10,38.5
2,2e-5,5.819833088739452e-6,7,2.0074533891992394,44.5,6.645483259966334,36.374525789836866,5.098969492169504,2e-5,7,44.5
2,4e-5,4.012419811011263e-6,11,0.6577576090804178,34.5,0.6289073567113966,28.957908753233006,0.44566291325603025,4e-5,11,34.5
2,4e-5,3.892182945654047e-6,11,0.6414077836062929,34.5,0.6074916430997048,28.957908753233006,0.4300639494992749,4e-5,11,34.5
2,4e-5,4.141680929250142e-6,12,0.5485051398657305,35.5,0.9594691004180356,29.901239605924673,0.7106552950517687,4e-5,12,35.5
