Authors,order,family,feeding_guild,lat,lon,id,a_est,a_se,Tmin_est,Tmin_se,Tmax_est,Tmax_se,Topt_est,Topt_se,starting_a,starting_Tmin,starting_Tmax
"de Campos,",Lepidoptera,Gelechiidae,borer,42.6391,2.98067,1,7.040077432902694e-5,1.4976733817062825e-5,3.0993340573134662,3.904235271139417,33.437218715226585,0.277647942679679,27.07852213113473,0.42003290858751385,7.000000000000001e-5,3,33.5
"Li, WB;",Orthoptera,Pyrgomorphidae,chewer,36.67087,116.98538,2,4e-5,3.9184138118579815e-6,11,0.6576754754266496,34.5,0.6027424940376177,28.957908753233006,0.4252293526003909,4e-5,11,34.5
"Schlesener, DCH;",Diptera,Drosophilidae,borer,-29.84253,-53.76806,3,2.2564101097020015e-4,6.969753149334423e-5,8.785091900119351,4.034352056990893,28.586399445212916,0.5405717931777911,23.944989853759562,0.5786405368952543,3.0000000000000003e-4,12,28.5
"del Pino,",Lepidoptera,Noctuidae,chewer,28.0079,-16.65571,4,1.0693761892520474e-4,1.8567387064002693e-5,10.08308449795753,1.0786202771227045,34.72147470010093,1.5156768324268188,28.997685540133926,1.0967877628553877,1.4000000000000001e-4,12,33.5
"Tian, ZQ;",Hemiptera,Aphididae,sucker,45.79883,126.5304,5,2.6000000000000003e-4,1.5719081359711072e-5,6,0.36854509003586844,32.5,0.5959982344832369,26.676026271442815,0.4405928376263386,2.6000000000000003e-4,6,32.5
"Islam, T;",Lepidoptera,Pyralidae,borer,24.72263,90.41868,6,1.1650302604182772e-4,7.973287299204416e-5,12.857580022917418,5.558662104173027,35.1569350868613,4.334420961601324,29.765506214186427,2.6474730366953305,9e-5,11,37.5
"Lin, MY;",Acari,Tetranychidae,sucker,23.42497,120.52254,7,1.2e-4,3.3374936525807184e-5,13,1.7996471875293556,33.5,0.7934149334923,28.48436408563312,0.49419069517324676,1.2e-4,13,33.5
"Govindan, BN;",Hemiptera,Pentatomidae,sucker,43.17003,-107.56853,8,1.028341283146513e-4,1.7637151487530134e-6,15.274068216682856,0.18615866225420466,33.289941130912545,0.01700288557575189,28.712831455244128,0.03249923576432728,9e-5,14,33.5
"Choudhary, JS;",Diptera,Tephritidae,borer,23.45598,85.25573,9,2.518192875276832e-4,1.6735448684895852e-5,19.7843485961556,0.37208802039895816,35.3442960130252,0.0834923408251649,31.173505065277812,0.08859542334510845,2.5000000000000006e-4,20,35.5
"Ullah, MS;",Acari,Tetranychidae,sucker,35.46669,139.4151,10,1.5353110706280916e-4,8.029975671443737e-6,7.422770334868257,0.6609481764209955,31.25220120472567,0.10700455315628127,25.868372408899575,0.08186677327309999,1.3000000000000002e-4,5,31.5
"Hasanvand, I;",Acari,Tetranychidae,sucker,33.48421,48.35383,11,1.6008579824254216e-4,5.981582009029788e-6,11.68137273552665,0.34873524136100353,38.200797660044934,0.0889057795172291,31.98969252434504,0.07072095368009425,1.5000000000000001e-4,11,38.5
"Saeed, S;",Lepidoptera,Plutellidae,chewer,30.19798,71.4725,12,1.0097494711793256e-4,5.066552839900148e-5,-3.1314985602495327,8.619789248939957,35.907430879988155,3.4904330970394186,28.429141437331772,2.1560382903676247,1.3000000000000002e-4,1,34.5
"Chiu, MC;",Diptera,Tephritidae,borer,23.97394,120.98202,13,0.0015521733150573034,5.021331864177014e-4,27.789982177764156,0.6633222236867435,32.524536851028756,0.048685183371559436,31.049579695085065,0.1889411821386206,3.1000000000000005e-4,21,32.5
"Lacerda, LF;",Lepidoptera,Tineidae,borer,-23.55065,-46.63338,14,3.630000463513868e-4,6.696252089161886e-5,14.285617250712919,1.2965051222460395,30.16925261321421,0.1386695522208753,26.102164741311555,0.23518577497492388,3.400000000000001e-4,14,30.5
"Bahirai, F;",Acari,Diptilomiopidae,sucker,33.48421,48.35383,15,2.354687330872538e-4,1.6059944050870307e-5,15.150126176697466,0.34551898029672146,35.260162337015984,0.3609330691109696,30.22971898143252,0.2569946813676191,2.3e-4,15,35.5
"Fidelis, EG;",Acari,Tenuipalpidae,sucker,2.82085,-60.67196,16,1.3000000000000002e-4,6.472277250709126e-5,18,0.3285181149661942,42.5,16.003991690531898,36.39142594591416,12.482537699059147,1.3000000000000002e-4,18,42.5
"Barbosa, LR;",Hemiptera,Thaumastocoridae,sucker,-25.29254,-49.22435,17,2e-5,4.605137945039537e-5,7,11.364001592070773,47.5,76.44096740239083,38.76946518715267,59.708790579690714,2e-5,7,47.5
"Ahn, JJ;",Hemiptera,Alydidae,sucker,35.93808,127.16437,18,1.2815447883884572e-4,1.3596425749098685e-5,16.524432234743127,0.9168312559477029,35.50349063543575,0.0100150786305616,30.66467086679978,0.16711577677644285,1.2e-4,16,35.5
"Soh, BSB;",Hemiptera,Aphididae,sucker,5.4469900000000004,10.05331,20,9.021461636804436e-5,9.510336009633947e-6,-5.415804731665368,2.2785094050996895,30.003634796336787,0.009299639140406971,23.517248759268,0.18269981473705113,1.5000000000000001e-4,5,30.5
"Qin, JY;",Lepidoptera,Noctuidae,chewer,39.92646,116.17955,21,7.000000000000001e-5,9.6981683618332e-6,12,0.8558071449943934,37.5,1.656211812298751,31.48254633215033,1.206294879066014,7.000000000000001e-5,12,37.5
"Li, BL;",Lepidoptera,Noctuidae,chewer,34.29937,108.48306,22,5.938840552897607e-4,1.569991547032567e-5,17.765398760845716,0.15366275978714666,30.24015488856071,0.023585296007185817,26.84709414134296,0.033066329837418716,5.000000000000001e-4,17,30.5
