study,a_est,a_se,Tmin_est,Tmin_se,Tmax_est,Tmax_se,Value,Topt_se,a,Tmin,Tmax
1,7.43916923551098e-5,8.49764790096492e-6,3.351749728924133,1.3122702664885326,33.512469429635964,0.4486338414168415,27.1671859196078,0.34441368732794425,8e-5,4,33.5
2,3.560409156922685e-5,4.682427978264039e-6,10.701335211377117,0.8395000147546807,36.09449496399386,1.3899373548834326,30.176374636026623,1.0267440865995352,4e-5,12,35.5
3,3.1036469832237045e-4,2.5145710003842422e-5,12.691532658028406,0.12803959028468986,28.495516918465427,0.7178623043618891,24.508976849229647,0.5583259676167711,3.2e-4,13,28.5
4,8.133104764790298e-5,2.037782622176522e-5,8.794887155686267,1.7039170913893338,37.215806669524724,3.1196031328898224,30.79862379039424,2.3099277517771277,1.1e-4,11,34.5
5,2.4375889321975815e-4,1.6132665945606386e-5,5.52627283213771,0.39449738103973403,33.000481914411814,0.8448421156450533,27.015973883640946,0.637229655762485,2.6000000000000003e-4,6,32.5
6,1.4087454054633865e-4,6.983526489076404e-5,13.569268225771692,4.125779465894613,33.59678337608194,2.1821258014315124,28.65529426977169,1.172318268097918,1.5e-4,14,33.5
7,1.1695445775444832e-4,1.5625920187783953e-6,16.42454867089254,0.08577672632432318,33.260824300145806,0.019009099995037353,28.903014146238736,0.01858728345287094,1e-4,15,33.5
9,8.951632311814676e-5,5.1447196523505765e-5,-1.9663433379122253,8.591294311797974,38.447174654182106,6.2262413587091325,30.567232895961865,4.288789823782931,8e-5,-4,39.5
11,3.253203554282514e-4,7.01018606247339e-5,14.010834106542266,1.456108670501492,30.08771995457376,0.5359286000874229,25.988312920141414,0.4497120340896639,1.6e-4,8,30.5
12,2e-5,1.4245146646474544e-5,-3,13.4733254238037,30.5,2.552863233077148,24.117566071606575,1.4407655878098642,2e-5,-3,30.5
16,8.865663883092155e-5,7.689614043609825e-6,12.84848327998235,0.5227425059004535,34.48989039981177,0.7204321775416604,29.238558728318036,0.5077365188724371,9e-5,13,34.5
17,5.826759792935465e-4,1.7542023891517134e-5,17.678839907545854,0.12702685448252315,30.226047418287315,0.037903150280521256,26.817930155037025,0.03481006282363174,4.8000000000000007e-4,17,30.5
18,1.3372904223055008e-4,5.215124532756878e-6,16.190606673578362,0.31759814084656063,39.02732174954907,0.19922727157170259,33.359702896688034,0.1315946168215265,1.5e-4,17,38.5
19,3.1997632739587417e-4,6.203807549337952e-5,19.113797690374806,0.6940700708235864,28.98537894006354,0.6215427943489678,26.197416957050017,0.41404322851526704,2e-4,18,30.5
20,9.201602149977542e-5,1.4220998291800307e-5,8.42822984704635,1.0849577015212641,28.18368585248529,0.6056086304355449,23.57323828608539,0.40021481323236263,5e-5,4,30.5
22,1.6643592708781208e-4,3.487450839266703e-6,8.747806797007255,0.11362796900254063,33.690449582366995,0.222704839479013,27.989162963947717,0.17090528003196762,1.7e-4,9,33.5
23,7.33448747419222e-5,5.928499980013001e-6,8.974273284046731,0.8810722893646293,34.07733695773517,0.2681265200983114,28.328202057956297,0.18775980843038614,6e-5,6,34.5
24,8.396112742082285e-5,5.34779325339165e-6,6.266309168504877,0.44200127477973805,45.60310959772515,1.5146253872559066,37.16680654259989,1.1650643621638834,9e-5,7,44.5
25,2.9215120918442672e-5,7.354518541170057e-6,1.5235005542381401,4.149158586501599,29.179091356124808,0.5853678526147442,23.50072683074985,0.2808019377653832,3.0000000000000004e-5,3,29.5
27,2.5406099899648186e-4,1.1619438112429939e-5,16.964007840659757,0.14285437378916596,33.49529164284552,0.3256990812035213,29.187562377185042,0.23891736603781943,2.5000000000000006e-4,17,33.5
28,1.092047308142921e-4,8.43347451050907e-6,15.373844576766768,0.36878373653682517,34.38325743640215,0.41791496698135794,29.58369348660626,0.2913092573161897,8e-5,14,35.5
29,2.1231633299024182e-4,9.745410902595209e-5,16.92813430173549,3.011522731674651,36.50898913128442,0.8015722241264648,31.521415587631726,0.6919689995920226,2.1e-4,17,36.5
31,6.999702849271805e-5,1.7495192724755446e-6,8.794160097343498,0.3418030878223806,41.29602725662656,0.10671583668377953,34.04665662828584,0.07858387278210639,7.000000000000001e-5,9,41.5
32,8.299037340327723e-5,2.318586323972364e-5,11.121164622705239,2.13408746870915,43.53250267987851,4.11349783054803,36.140344350128565,3.029483674182338,9e-5,12,42.5
33,1.8622964794484263e-4,1.1628332774481393e-5,13.015538301375646,0.33607816491618464,35.144413852357,0.5150057471946835,29.781030968660048,0.37910588599193973,2.2e-4,14,34.5
34,8.535666506737655e-5,3.490532449976084e-6,9.158743135146763,0.361822556293966,33.60704597572301,0.14101705086770602,27.980736909743335,0.10513476159240127,9e-5,10,33.5
35,5.8605910822969725e-5,2.6187598267069824e-6,7.4745188745314906,0.21373894119245593,37.599091414269765,0.749411140627914,30.929453823342225,0.5793921754178919,6e-5,8,37.5
37,1.5313668373078304e-4,1.8456795533996775e-5,10.13489238867894,0.5059973268567161,37.24092252247037,2.1265835589790805,31.004239483308947,1.6592995827063368,1.5e-4,10,37.5
38,5.012282615032034e-5,3.923003100806465e-5,7.240397365544413,9.555345594511751,35.61163607085892,4.083461461255828,29.315358765279136,2.6429980042324717,6e-5,9,34.5
39,6.038091157355629e-4,3.6310788601868766e-5,22.234272330409624,0.26326054580037883,36.084890908227266,0.1369301405098451,32.26041785696606,0.08703759359379112,4.8000000000000007e-4,21,36.5
40,2.466764937695186e-4,1.526526867186841e-5,7.350666472783331,0.5974600349762075,30.04459471912378,0.08686950361587312,24.8980407364095,0.09966186686425503,1.2e-4,-4,30.5
42,3.784241796429858e-4,1.1213667149418031e-4,6.155350369031254,2.1794865916721577,27.01709144031641,1.2067242575787347,22.32761974056415,0.8030970061391324,3.3000000000000005e-4,5,27.5
43,1.3993869848788652e-4,1.5287020775104115e-5,17.841059805556178,0.612912802540855,37.973749007255705,0.5863000620827574,32.82878206810044,0.40850798617854633,1.2e-4,17,38.5
44,1.25673767077175e-4,3.473317407015241e-5,13.662453594723424,2.0019793588280166,33.611970566599645,1.020532160443976,28.682934065217914,0.6856588749305489,1.3000000000000002e-4,14,33.5
45,1.458095108904244e-4,5.814185272437129e-6,6.8790633902645695,0.4094172205003075,31.422373989178062,0.18154816756399647,25.93100431819473,0.12583046249413884,1.4e-4,6,31.5
46,1.6504407980680476e-4,5.752128233445339e-6,12.031000302206234,0.31087537664947495,38.22164249445325,0.17225703763224734,32.05831214277226,0.12994717230814848,1.6e-4,12,38.5
47,2.2588516222738246e-4,1.542792635697418e-5,14.770900405063099,0.35516277411194075,35.11798166433201,0.3965489979216967,30.052740438300845,0.2849910014016913,2.2e-4,15,35.5
48,1.8e-4,3.832011263295482e-5,17,0.42409676071661484,30.5,1.8172445236356587,26.885927185202274,1.3212735328049148,1.8e-4,17,30.5
49,2.2345962661863978e-4,1.3568554061532456e-5,12.584728052053833,0.3603323846433192,31.502198162080045,0.22367183606471902,26.84551383802067,0.1534029436740198,1.4e-4,9,32.5
50,2.4232716021936314e-4,6.947537144096466e-6,10.476550643082875,0.20658436685085083,36.61590455467904,0.2594269101687134,30.557130438863375,0.19529153194434112,2e-4,9,37.5
51,2.810226529793699e-4,1.8693745506784864e-5,12.968077302547702,0.23358972169151734,33.0923650767964,0.6101551613018196,28.15864462702816,0.46239160333187984,1.7e-4,11,37.5
52,1.9366134693840387e-4,5.259188024756704e-6,10.438378918853266,0.13472884357496273,39.872488435238,0.4687869804153088,33.13697263444392,0.3616310359981333,1.9e-4,10,39.5
53,1.2550674827013322e-4,1.6936180907594584e-5,5.840599117743059,0.7813208482422387,48.29666625429025,4.3640406589791025,39.26831789161362,3.407195123240244,1.5e-4,7,43.5
54,3.1794544481422417e-4,1.6558054090966837e-4,14.095632249925076,3.4303190342342744,33.12096605501055,2.240995329843093,28.372203723137318,1.323130884390954,3.0000000000000003e-4,14,33.5
55,6.175067076346406e-5,2.424091638130749e-5,1.9731161146852254,1.4964484679263248,93.37544417637248,44.63074576942091,74.90030055429638,35.557243428183185,2.7000000000000006e-4,11,37.5
56,8.172917495151011e-5,1.8066924455301396e-5,2.862887366815205,2.293475208860222,46.45173680814806,4.513857517088116,37.459052965260796,3.406314751342194,1.7e-4,10,38.5
57,1.0856029083869761e-4,1.911311317016396e-5,6.381223659034286,1.5835536220844169,45.16371272511503,3.100191594952388,36.82961754446253,2.323500963188554,1.8e-4,10,39.5
58,7.044254970439031e-5,1.2260369712258684e-5,-1.053146122631062,1.847722248245852,59.18034623450168,6.559826364850072,47.240123348190636,5.0812849634321156,1.2e-4,5,46.5
59,3.517004292140507e-4,1.0176815491948241e-4,7.728864673631865,2.668651598594484,28.223771565072667,0.3243237324081912,23.50398293539795,0.39991090084351244,3.1000000000000005e-4,7,28.5
