study,a_est,a_se,Tmin_est,Tmin_se,Tmax_est,Tmax_se,Value,Topt_se,a,Tmin,Tmax
1,7.439169151267827e-5,8.497647991088406e-6,3.351749591957819,1.3122704011891067,33.51246944701116,0.44863380748102066,27.167185917952644,0.34441366410785856,8e-5,4,33.5
2,3.560409212365698e-5,4.682428102536567e-6,10.701335312266478,0.8394999793570094,36.09449483467724,1.3899374226587224,30.176374548294923,1.0267441406152022,4e-5,12,35.5
3,3.1036469816757864e-4,2.514570979997869e-5,12.69153265754127,0.1280395898913183,28.495516921143654,0.7178623074822513,24.508976851234586,0.5583259700712507,3.2e-4,13,28.5
4,8.133103599082571e-5,2.0377827588165235e-5,8.794886166021962,1.7039174117806068,37.2158082104045,3.119604443716811,30.798624882358943,2.3099287615191164,1.1e-4,11,34.5
5,2.4375889352068987e-4,1.6132664943234162e-5,5.52627283845473,0.39449735116777973,33.000481898248076,0.8448420676081146,27.01597387152525,0.6372296209760367,2.6000000000000003e-4,6,32.5
6,1.4087453186626675e-4,6.983526911020343e-5,13.569267718441626,4.125780143360694,33.59678362564096,2.1821261094572066,28.655294380201827,1.1723184182172168,1.5e-4,14,33.5
7,1.1695445805199082e-4,1.5625920115600317e-6,16.424548686027084,0.0857767247258225,33.2608242987589,0.019009100019155456,28.903014148026166,0.01858728335157688,1e-4,15,33.5
9,8.951632723655551e-5,5.1447233916025395e-5,-1.9663426334832612,8.591299693106455,38.447174214568435,6.226245237353508,30.567232610447398,4.288792310461113,8e-5,-4,39.5
11,3.2532035410392016e-4,7.010186060331142e-5,14.010834067433493,1.4561086903461897,30.087719947203897,0.5359285782535829,25.9883129072662,0.44971202288924095,1.6e-4,8,30.5
12,2e-5,1.4245146322214658e-5,-3,13.473325146130344,30.5,2.552863176577157,24.117566071606575,1.4407655802938533,2e-5,-3,30.5
16,8.865663892412311e-5,7.689613291872806e-6,12.848483286800397,0.522742460907847,34.489890393880955,0.7204321150158292,29.23855872474981,0.5077364789876383,9e-5,13,34.5
17,5.826759792935466e-4,1.7542023752489212e-5,17.678839907545854,0.1270268527849763,30.226047418287315,0.03790315026628688,26.817930155037025,0.03481006267742109,4.8000000000000007e-4,17,30.5
18,1.3372904229170106e-4,5.215124535147769e-6,16.19060667759025,0.3175981405337861,39.027321747361604,0.19922727373089652,33.35970289565868,0.13159461779582987,1.5e-4,17,38.5
19,3.199763273614185e-4,6.203807414499038e-5,19.113797690010742,0.6940700691343138,28.985378940345257,0.6215427680509158,26.197416957176795,0.41404321404064404,2e-4,18,30.5
20,9.201602041610116e-5,1.422099897841156e-5,8.428229769558373,1.0849577345355177,28.183685889196042,0.6056086581223574,23.573238303796636,0.40021482836851596,5e-5,4,30.5
22,1.6643592729952096e-4,3.4874509344634466e-6,8.747806799848185,0.11362797116955625,33.69044956771312,0.22270483843505764,27.989162952700855,0.1709052790813185,1.7e-4,9,33.5
23,7.334487343038876e-5,5.928500035093824e-6,8.974273088937213,0.8810723375159126,34.07733699144762,0.26812652232354933,28.328202057383898,0.18775980915694598,6e-5,6,34.5
24,8.396112730114344e-5,5.347793693384822e-6,6.266309169817527,0.4420013004235744,45.60310965481191,1.5146254936822203,37.1668065883483,1.1650644438431832,9e-5,7,44.5
25,2.9215137273419205e-5,7.354513242842837e-6,1.5235098952062862,4.149150691184101,29.179090299207285,0.5853672949837836,23.50072698291102,0.28080174909094624,3.0000000000000004e-5,3,29.5
27,2.5406099899602904e-4,1.1619438241224358e-5,16.964007840654634,0.1428543749773058,33.49529164285495,0.3256990823691873,29.18756237719136,0.23891736671646477,2.5000000000000006e-4,17,33.5
28,1.0920473078246503e-4,8.433474619487424e-6,15.37384457615497,0.368783740388711,34.383257438151006,0.41791496907681547,29.583693487862707,0.2913092581627446,8e-5,14,35.5
29,2.1231633489188686e-4,9.745410978952764e-5,16.92813434016228,3.0115227537930367,36.50898912124162,0.8015721871655282,31.52141558680155,0.6919689831362436,2.1e-4,17,36.5
31,6.999702807691467e-5,1.7495194143459033e-6,8.794160014777988,0.3418031105886711,41.29602726952754,0.1067158388001772,34.046656627722044,0.07858387328105816,7.000000000000001e-5,9,41.5
32,8.299037277394469e-5,2.3185863022945302e-5,11.121164562969028,2.1340875214275234,43.53250277671751,4.113497887000071,36.14034441880201,3.0294837146083053,9e-5,12,42.5
33,1.8622964755949653e-4,1.1628333003074198e-5,13.015538290877847,0.33607816939759483,35.14441386542851,0.5150057525201761,29.781030977263764,0.3791058892038688,2.2e-4,14,34.5
34,8.535666494299681e-5,3.4905325183735376e-6,9.158743122247753,0.3618225621259774,33.607045978355394,0.1410170506008125,27.980736910003124,0.1051347616047179,9e-5,10,33.5
35,5.860591092895785e-5,2.618759834026991e-6,7.474518881580596,0.2137389392131605,37.59909138796455,0.7494111389326784,30.92945380328582,0.5793921742684319,6e-5,8,37.5
37,1.53136684259411e-4,1.8456795927558027e-5,10.13489240378789,0.5059973269924076,37.2409224769461,2.1265835714038563,31.004239449308066,1.6592995923292175,1.5e-4,10,37.5
38,5.012282251535251e-5,3.923003400963852e-5,7.240396571463662,9.555347365858719,35.61163643083869,4.0834621951064225,29.31535894917291,2.6429984232387356,6e-5,9,34.5
39,6.038091157355634e-4,3.6310789465979924e-5,22.234272330409624,0.26326054914454045,36.08489090822726,0.13693014236673454,32.26041785696605,0.08703759389578253,4.8000000000000007e-4,21,36.5
40,2.4667649426115374e-4,1.526526826457428e-5,7.350666493725378,0.597460018541011,30.044594719490625,0.08686950390145574,24.898040739566397,0.09966186540411529,1.2e-4,-4,30.5
42,3.784241755430354e-4,1.121366698587867e-4,6.155350288983074,2.1794866106799993,27.017091473231073,1.2067242693118883,22.327619756047675,0.803097017610571,3.3000000000000005e-4,5,27.5
43,1.399386999694931e-4,1.5287020882599325e-5,17.84105986141046,0.6129127611721792,37.973748966937855,0.5863000991122223,32.828782046965635,0.40850801643573087,1.2e-4,17,38.5
44,1.2567376732603778e-4,3.473317343433727e-5,13.662453610148125,2.0019792662373153,33.611970562808224,1.0205321633099915,28.682934064849597,0.6856588888575142,1.3000000000000002e-4,14,33.5
45,1.4580951079520979e-4,5.8141854270957875e-6,6.879063383304991,0.40941723593318285,31.422373990934318,0.18154816925198874,25.93100431867241,0.12583046394007177,1.4e-4,6,31.5
46,1.6504407989288835e-4,5.7521283115000165e-6,12.031000304323781,0.31087537745222577,38.221642491102976,0.17225703800251077,32.05831214043783,0.12994717219174362,1.6e-4,12,38.5
47,2.2588511957312703e-4,1.5427927883400265e-5,14.770899607709605,0.35516288322912787,35.1179825619064,0.3965492128376828,30.05274100418701,0.28499115442287387,2.2e-4,15,35.5
48,1.8e-4,3.832011264105121e-5,17,0.42409676077483804,30.5,1.817244524127655,26.885927185202274,1.321273533168396,1.8e-4,17,30.5
49,2.2345962479421784e-4,1.3568554246807793e-5,12.584728007346559,0.36033239473727935,31.502198182740145,0.22367184140794233,26.84551384675777,0.1534029463344875,1.4e-4,9,32.5
50,2.4232715943319966e-4,6.947537004971847e-6,10.476550621196676,0.20658436678186165,36.61590457222235,0.2594269073820326,30.55713044961803,0.1952915300418323,2e-4,9,37.5
51,2.81022651141138e-4,1.8693745994072334e-5,12.968077282741778,0.2335897314227526,33.092365126821925,0.6101551628256084,28.158644663060805,0.4623916036418687,1.7e-4,11,37.5
52,1.936613469583405e-4,5.2591880147243465e-6,10.438378919637259,0.13472884693414153,39.872488435061946,0.46878697348429715,33.13697263441374,0.36163103005380975,1.9e-4,10,39.5
53,1.2550672901909414e-4,1.6936184370605305e-5,5.8405981832391145,0.7813210723419522,48.29667085654871,4.364043237155998,39.26832145974422,3.407197161294513,1.5e-4,7,43.5
54,3.1794544481436165e-4,1.655805342014129e-4,14.095632249928306,3.430318945742592,33.12096605500854,2.2409951992112287,28.372203723136302,1.3231308087419587,3.0000000000000003e-4,14,33.5
55,6.17505795693424e-5,2.424095747698277e-5,1.9731107848737224,1.496451183300262,93.3756127274487,44.63101197485205,74.90043484306865,35.557456130653,2.7000000000000006e-4,11,37.5
56,8.172917804304846e-5,1.8066922628279138e-5,2.862887745044579,2.293474825510225,46.451736073114546,4.513856580015869,37.45905241829487,3.406314045010369,1.7e-4,10,38.5
57,1.0856029786753822e-4,1.9113112199179145e-5,6.381224204186673,1.5835533778921138,45.16371164953051,3.1001911006087837,36.82961675077002,2.323500589826388,1.8e-4,10,39.5
