study,a_est,a_se,Tmin_est,Tmin_se,Tmax_est,Tmax_se,Value,Topt_se,a,Tmin,Tmax
1,7.439169408826076e-5,8.497647383584727e-6,3.351750017415121,1.3122702356207703,33.512469398974716,0.44863376858244175,27.167185927838727,0.3444136402594663,8e-5,4,33.5
2,3.560409261689039e-5,4.6824279465510625e-6,10.701335384544711,0.8394999751818576,36.094494692561526,1.3899372556910048,30.176374446229783,1.0267440106652435,4e-5,12,35.5
3,3.1036469831617364e-4,2.5145709778980792e-5,12.691532658108345,0.12803959401128945,28.495516919943814,0.7178622889124344,24.508976850398387,0.5583259555638581,3.2e-4,13,28.5
4,8.133105244857674e-5,2.0377825145491866e-5,8.794887483147768,1.703916850819678,37.215805900315424,3.119602549063602,30.79862322273967,2.3099273154756053,1.1e-4,11,34.5
5,2.4375889280937665e-4,1.6132665266371052e-5,5.526272822963346,0.3944973547354163,33.00048193657799,0.8448420931947433,27.015973900192527,0.6372296405720482,2.6000000000000003e-4,6,32.5
6,1.4087453561636068e-4,6.983526666734195e-5,13.569267939308515,4.125779782638813,33.596783519231664,2.1821260131876916,28.655294333881386,1.172318383721696,1.5e-4,14,33.5
7,1.1695445825041763e-4,1.5625920193799286e-6,16.424548694348687,0.08577672472842252,33.260824297532515,0.019009100052307583,28.90301414864926,0.01858728331645843,1e-4,15,33.5
9,8.951634318121778e-5,5.144720600986847e-5,-1.966339941409613,8.591293801443072,38.44717245914213,6.226239659195858,30.567231459020736,4.288788425307153,8e-5,-4,39.5
11,3.2532034953361986e-4,7.010186104390993e-5,14.010833979301838,1.4561087348005208,30.087719960162115,0.5359286229638938,25.988312901277663,0.44971205025655503,1.6e-4,8,30.5
12,2e-5,1.4245147803918137e-5,-3,13.473326414420743,30.5,2.552863435379159,24.117566071606575,1.4407656150563706,2e-5,-3,30.5
16,8.865663849649665e-5,7.689613187552136e-6,12.848483262446457,0.5227424680520156,34.489890435009194,0.7204321140419635,29.238558753201154,0.5077364778863016,9e-5,13,34.5
17,5.826759792928678e-4,1.7542024283419875e-5,17.67883990754211,0.12702685526668334,30.226047418287887,0.037903150327271484,26.81793015503667,0.03481006285380661,4.8000000000000007e-4,17,30.5
18,1.3372904117342228e-4,5.2151243425866294e-6,16.19060660806513,0.317598131613821,39.0273217764215,0.19922727596454173,33.3597029065609,0.13159462059578314,1.5e-4,17,38.5
19,3.199763262091453e-4,6.203807405128877e-5,19.113797679631443,0.69407007157389,28.985378950620834,0.6215427859554312,26.197416962475256,0.4140432246545333,2e-4,18,30.5
20,9.201602201124273e-5,1.4220998914550861e-5,8.428229884520496,1.0849577192066766,28.183685835531474,0.6056086387535283,23.573238278153973,0.4002148146317067,5e-5,4,30.5
22,1.6643592684323762e-4,3.4874509325125146e-6,8.747806784723196,0.11362797188261885,33.69044958813226,0.22270483864374524,27.98916296681467,0.17090527910509096,1.7e-4,9,33.5
23,7.334487575026725e-5,5.928500155450739e-6,8.974273432453034,0.8810722946558407,34.077336931224444,0.26812651294896633,28.328202057702168,0.18775980490311422,6e-5,6,34.5
24,8.396112673874795e-5,5.347793236138989e-6,6.266309092037265,0.4420012665212395,45.603109731385636,1.514625441139131,37.16680664024327,1.1650644063266244,9e-5,7,44.5
25,2.9215128701548145e-5,7.354503810554247e-6,1.5235049998300705,4.1491478886429265,29.179090852708605,0.5853669655440328,23.5007269028441,0.28080182230968365,3.0000000000000004e-5,3,29.5
27,2.540609989964818e-4,1.1619438131833543e-5,16.964007840659757,0.14285437410496313,33.49529164284552,0.3256990814535096,29.187562377185042,0.23891736619231221,2.5000000000000006e-4,17,33.5
28,1.0920473101947459e-4,8.433474484162988e-6,15.373844584433437,0.3687837395897165,34.38325742771356,0.4179149662158458,29.583693481188355,0.29130925605798313,8e-5,14,35.5
29,2.1231633101911784e-4,9.74541123471272e-5,16.928134237722137,3.011522922279019,36.5089891369007,0.8015722164420924,31.521415580357164,0.6919690058546816,2.1e-4,17,36.5
31,6.999702860165602e-5,1.7495193275105945e-6,8.794160118186895,0.34180309304476075,41.296027253460935,0.10671583543247347,34.0466566285008,0.07858387240825601,7.000000000000001e-5,9,41.5
32,8.29903715314993e-5,2.3185864762040356e-5,11.121164446572388,2.1340876639300603,43.53250297321331,4.113498280164899,36.14034455881513,3.0294840054957053,9e-5,12,42.5
33,1.8622964726597264e-4,1.1628332999233029e-5,13.015538280364025,0.3360781700633992,35.14441387191007,0.51500575791770975,29.78103098067411,0.37910589324891403,2.2e-4,14,34.5
34,8.535666485616974e-5,3.490532491869643e-6,9.158743112232473,0.36182255620742315,33.60704597981349,0.14101705088776656,27.98073690973976,0.10513476208424795,9e-5,10,33.5
35,5.8605910748163455e-5,2.6187598324287857e-6,7.474518869365532,0.21373894009221728,37.599091434813225,0.74941114863445,30.9294538390493,0.5793921819389976,6e-5,8,37.5
37,1.5313668400397686e-4,1.8456795770571824e-5,10.134892400710465,0.5059973263194668,37.2409225073631,2.126583574381058,31.004239473020895,1.6592995949246456,1.5e-4,10,37.5
38,5.012282130912989e-5,3.9230031677479164e-5,7.240396288314306,9.55534734376048,35.61163653742299,4.08346234439825,29.31535899739332,2.642998558972298,6e-5,9,34.5
