study,a_est,a_se,Tmin_est,Tmin_se,Tmax_est,Tmax_se,Value,Topt_se,a,Tmin,Tmax
1,7.439169144802882e-5,8.497647511746065e-6,3.351749591571844,1.312270319208753,33.5124694495948,0.44863381502430305,27.167185919973967,0.3444136698307651,8e-5,4,33.5
2,3.560409159584672e-5,4.682428081982042e-6,10.701335223346694,0.8395000005184495,36.09449496808856,1.3899374432599167,30.176374641024466,1.0267441558656536,4e-5,12,35.5
3,3.103646980378452e-4,2.5145710001324793e-5,12.691532657268466,0.12803959107196655,28.495516922877513,0.7178623078034286,24.50897685254013,0.5583259702429834,3.2e-4,13,28.5
4,8.133105195050939e-5,2.0377825436638662e-5,8.794887460860956,1.703916922387245,37.2158059988921,3.119602567579738,30.798623298149653,2.309927322913203,1.1e-4,11,34.5
5,2.4375889366419484e-4,1.6132665794310455e-5,5.526272845113175,0.3944973683904621,33.00048190087664,0.8448420931571791,27.01597387444673,0.6372296391062622,2.6000000000000003e-4,6,32.5
6,1.4087453578958634e-4,6.983526612365176e-5,13.569267944910122,4.125779715233026,33.596783511904654,2.1821260194248233,28.655294329073918,1.1723183947568565,1.5e-4,14,33.5
7,1.1695445765219387e-4,1.5625920396451544e-6,16.42454866546057,0.08577672673763251,33.26082430058934,0.01900909991286241,28.903014145555137,0.018587283479756533,1e-4,15,33.5
9,8.951634424643007e-5,5.144720924677892e-5,-1.9663397314128288,8.591294082973338,38.44717237168698,6.226239850132223,30.567231408777666,4.288788540465643,8e-5,-4,39.5
11,3.2532035347969076e-4,7.010186082793382e-5,14.010834060314107,1.4561086836400001,30.087719951896762,0.535928599053937,25.98831290962196,0.449712034316714,1.6e-4,8,30.5
12,2e-5,1.4245146247264768e-5,-3,13.473325081874012,30.5,2.5528631636378383,24.117566071606575,1.4407655786540512,2e-5,-3,30.5
16,8.865663820428373e-5,7.689613516442357e-6,12.848483242656387,0.522742489255522,34.48989045573254,0.720432150520933,29.238558766321308,0.5077365019883313,9e-5,13,34.5
17,5.826759792936715e-4,1.7542023960898704e-5,17.678839907546685,0.1270268534769599,30.22604741828708,0.03790315032170598,26.817930155037025,0.03481006269974033,4.8000000000000007e-4,17,30.5
18,1.3372904151085925e-4,5.215124492987586e-6,16.190606630365142,0.31759814019607413,39.02732176885748,0.1992272768017579,33.35970290444126,0.13159462005504388,1.5e-4,17,38.5
19,3.1997632731716624e-4,6.203807194404654e-5,19.113797689584658,0.6940700645697373,28.98537894070258,0.6215427556003078,26.1974169573459,0.4140432093467912,2e-4,18,30.5
20,9.20160210828242e-5,1.4220998258813618e-5,8.428229816730415,1.0849577194240607,28.183685866623787,0.6056086280568419,23.573238292837114,0.4002148116637021,5e-5,4,30.5
22,1.6643592737141644e-4,3.487450875008726e-6,8.7478068011057,0.11362796957039692,33.6904495623274,0.2227048363761176,27.989162948597084,0.1709052777192909,1.7e-4,9,33.5
23,7.334487623299023e-5,5.928499987855161e-6,8.974273509845142,0.8810722552241979,34.07733692144786,0.2681265110866197,28.328202060785618,0.1877598050016941,6e-5,6,34.5
