study,a_est,a_se,Tmin_est,Tmin_se,Tmax_est,Tmax_se,Value,Topt_se,a,Tmin,Tmax
1,7.439169276616458e-5,8.497648005684797e-6,3.351749802596858,1.3122702813570373,33.5124694219632,0.4486338352217143,27.167185921835472,0.34441368305771575,8e-5,4,33.5
2,3.560409149028771e-5,4.682428038764182e-6,10.701335196356617,0.8395000291907134,36.09449497826152,1.38993738183888,30.176374645136814,1.0267441056562872,4e-5,12,35.5
3,3.103646982060495e-4,2.5145709827218926e-5,12.691532657755065,0.1280395908736902,28.495516919987885,0.7178623028261812,24.508976850370004,0.5583259663901883,3.2e-4,13,28.5
4,8.1331044279123e-5,2.0377825554292426e-5,8.794886879335262,1.7039171144171494,37.215807112899796,3.1196033418821254,30.798624105736867,2.309927922067864,1.1e-4,11,34.5
5,2.437588919439539e-4,1.6132666421003794e-5,5.526272801742051,0.3944974042375335,33.000481973495546,0.8448421155241534,27.01597392702369,0.6372296534905191,2.6000000000000003e-4,6,32.5
6,1.4087453237637335e-4,6.983527232699613e-5,13.569267745568673,4.125780267310062,33.5967836096957,2.1821262417769383,28.655294372255366,1.1723184834208813,1.5e-4,14,33.5
7,1.1695445691958129e-4,1.5625920431450696e-6,16.424548628758515,0.0857767287669602,33.26082430430486,0.019009099767124775,28.903014141493674,0.018587283654854007,1e-4,15,33.5
9,8.951632983058456e-5,5.144720292608284e-5,-1.966342207482238,8.591295675035463,38.447173913815305,6.226240226193771,30.567232409870325,4.28878880330019,8e-5,-4,39.5
11,3.253203526903245e-4,7.010186088579619e-5,14.01083404234714,1.4561087022122896,30.087719951113456,0.5359285888824237,25.988312905733732,0.4497120289403745,1.6e-4,8,30.5
12,2e-5,1.4245146573318798e-5,-3,13.473325360767781,30.5,2.55286322090781,24.117566071606575,1.440765586539061,2e-5,-3,30.5
16,8.865663848081486e-5,7.689613494216829e-6,12.848483264240343,0.5227424806194647,34.48989044005504,0.7204321448314551,29.238558757464858,0.5077364987624324,9e-5,13,34.5
17,5.82675979293665e-4,1.7542024129228068e-5,17.678839907545427,0.12702685535219732,30.226047418286843,0.03790315025070641,26.81793015503657,0.034810062903917346,4.8000000000000007e-4,17,30.5
18,1.3372904131426195e-4,5.215124594091095e-6,16.190606617969046,0.31759815010706105,39.02732177338626,0.19922727826936668,33.35970290587359,0.13159462007712286,1.5e-4,17,38.5
19,3.199763275430085e-4,6.203807346776532e-5,19.11379769246632,0.6940700669174181,28.985378939416734,0.6215427694856483,26.197416957050894,0.4140432160312094,2e-4,18,30.5
20,9.201602205159896e-5,1.4220999688292653e-5,8.428229884744546,1.0849577578007275,28.18368583267088,0.605608653497384,23.57323827591989,0.4002148185124589,5e-5,4,30.5
22,1.664359271406522e-4,3.4874508038337693e-6,8.747806793591215,0.11362796772761338,33.690449572982196,0.2227048382034747,27.989162956014447,0.170905279225112,1.7e-4,9,33.5
23,7.33448765436073e-5,5.9284997068959504e-6,8.974273559028301,0.8810721939689228,34.07733691127931,0.2681265077744663,28.32820205960305,0.18775980164461545,6e-5,6,34.5
24,8.396112589846538e-5,5.347793058695738e-6,6.266309042666999,0.44200125637021864,45.603110002125426,1.5146254324108166,37.16680685059068,1.1650644010118254,9e-5,7,44.5
25,2.9215130173616942e-5,7.354506633542412e-6,1.5235058421111094,4.149148638766143,29.179090760189826,0.5853670464493013,23.50072691879139,0.2808018114107126,3.0000000000000004e-5,3,29.5
27,2.5406099899916135e-4,1.1619438478249833e-5,16.964007840690073,0.14285437838149934,33.49529164278972,0.32569908495887845,29.187562377147678,0.2389173680884761,2.5000000000000006e-4,17,33.5
28,1.0920473087136696e-4,8.43347475273728e-6,15.373844578848296,0.36878374452445517,34.38325743390329,0.4179149753863334,29.58369348502607,0.2913092618184157,8e-5,14,35.5
29,2.1231633233604637e-4,9.745410851129636e-5,16.92813426992607,3.011522809698736,36.50898913177884,0.801572201269789,31.521415582227938,0.6919689984230494,2.1e-4,17,36.5
30,1.6074486095638326e-5,2.2784217663400522e-5,16.71430135456397,2.1489094368052335,77.80811935291284,121.34928378924108,64.1682056651999,96.38566263359981,3.0000000000000004e-5,18,46.5
31,6.999702859112151e-5,1.7495193569681763e-6,8.794160116938693,0.3418030981344065,41.2960272539538,0.10671583589909578,34.0466566287295,0.07858387250425851,7.000000000000001e-5,9,41.5
32,8.29903726411826e-5,2.3185865309052058e-5,11.121164555563718,2.1340876769501804,43.53250280407882,4.113498238176238,36.14034443951972,3.0294839676127343,9e-5,12,42.5
