study,a_est,a_se,Tmin_est,Tmin_se,Tmax_est,Tmax_se,Value,Topt_se,a,Tmin,Tmax
1,7.439169282841583e-5,8.497648538914434e-6,3.3517498138448136,1.3122704312184301,33.51246942188535,0.44863379374250273,27.167185923049693,0.3444136522047897,8e-5,4,33.5
2,3.5604091994904065e-5,4.682428046023373e-6,10.701335289696964,0.8394999786018388,36.09449486469881,1.3899373855053134,30.176374568787118,1.0267441138331057,4e-5,12,35.5
3,3.103646980887209e-4,2.5145710000426735e-5,12.691532657463165,0.1280395902038558,28.49551692324556,0.7178623095607233,24.508976852862155,0.5583259716197734,3.2e-4,13,28.5
4,8.133104745879723e-5,2.0377826490229444e-5,8.794887042837283,1.7039170835113844,37.215806547087496,3.119603135642182,30.79862367771243,2.3099277553559743,1.1e-4,11,34.5
5,2.4375889086279695e-4,1.6132664642441e-5,5.526272775331917,0.39449734112323026,33.000482021879854,0.8448420847586868,27.015973962362317,0.637229636410271,2.6000000000000003e-4,6,32.5
6,1.4087453173607095e-4,6.983526435485425e-5,13.56926770852291,4.125779867512892,33.59678362827631,2.182125987181678,28.655294380599734,1.1723183753446298,1.5e-4,14,33.5
7,1.16954457714013e-4,1.5625920289874561e-006,16.42454866944558,0.08577672695396868,33.260824300448476,0.01900909998508386,28.90301414619975,0.01858728353747717,1e-4,15,33.5
9,8.951633435325238e-5,5.14471731316645e-5,-1.9663414323766162,8.591289464626826,38.4471734296601,6.226237259432631,30.567232095362318,4.288787007055977,8e-5,-4,39.5
