study,a_est,a_se,Tmin_est,Tmin_se,Tmax_est,Tmax_se,Value,Topt_se,a,Tmin,Tmax
1,7.43916911949453e-5,8.497647850798161e-6,3.351749546741142,1.31227038078403,33.51246945366549,0.448633821072819,27.167185918140195,0.3444136735117916,8e-5,4,33.5
2,3.560409151227364e-5,4.682428070137826e-6,10.701335198662145,0.8394999907543618,36.09449496723765,1.3899374506896696,30.17637463673641,1.0267441646504947,4e-5,12,35.5
3,3.103646981337218e-4,2.514570982827731e-5,12.691532657512097,0.1280395944790598,28.495516921819622,0.7178622904912295,24.50897685175729,0.5583259567758103,3.2e-4,13,28.5
4,8.133104624166815e-5,2.0377825604040274e-5,8.794887021999033,1.7039170079701924,37.21580681838396,3.119603133173845,30.798623890731825,2.3099277653722003,1.1e-4,11,34.5
5,2.4375889350523742e-4,1.6132665668708893e-5,5.5262728384760065,0.39449736452974654,33.00048189950845,0.844842092766422,27.01597387253357,0.637229639425658,2.6000000000000003e-4,6,32.5
6,1.4087453629170587e-4,6.983526479671766e-5,13.569267972153643,4.125779633553518,33.59678349499368,2.1821258906963594,28.6552943203891,1.1723183217111834,1.5000000000000001e-4,14,33.5
7,1.1695445788002981e-4,1.5625920176328651e-6,16.42454867557493,0.08577672500529333,33.26082429937098,0.019009099998467782,28.903014146523596,0.018587283357303235,1e-4,15,33.5
9,8.951632876353625e-5,5.144721476043902e-5,-1.9663423875114687,8.591297267926628,38.447174033387846,6.226242139034315,30.56723248861467,4.288790139469267,8e-5,-4,39.5
11,3.25320352863471e-4,7.010186204766186e-5,14.010834054525045,1.45610871636221,30.08771996409592,0.5359286319514002,25.988312918066253,0.4497120537416212,1.6e-4,8,30.5
12,2e-5,1.4245147310529965e-5,-3,13.473326016168539,30.5,2.5528633275947015,24.117566071606575,1.4407655981892478,2e-5,-3,30.5
16,8.865663902898764e-5,7.689613778818115e-6,12.848483291023697,0.5227424972767144,34.489890382217766,0.720432133044031,29.238558716247752,0.507736487250301,9e-5,13,34.5
17,5.826759792935465e-4,1.754202389161981e-5,17.678839907545854,0.1270268544868361,30.226047418287315,0.03790315027840479,26.817930155037025,0.03481006282301383,4.8000000000000007e-4,17,30.5
18,1.3372904137006232e-4,5.21512443476978e-6,16.190606621617185,0.3175981361409194,39.0273217719378,0.19922727671059043,33.359702905361395,0.13159462042776526,1.5000000000000001e-4,17,38.5
19,3.199763275940848e-4,6.203807404190315e-5,19.113797692294135,0.6940700663962878,28.985378938406026,0.6215427672206237,26.19741695625233,0.414043213977769,2e-4,18,30.5
20,9.2016020425937e-5,1.4220999260176697e-5,8.428229769222314,1.084957772137316,28.18368588850529,0.605608660956603,23.57323830319986,0.4002148269337885,5e-5,4,30.5
22,1.6643592726284215e-4,3.487450875124137e-6,8.747806797083145,0.1136279694568364,33.69044956828784,0.222704839400172,27.989162952771732,0.17090528001208488,1.7e-4,9,33.5
23,7.334487307813398e-5,5.928499846978965e-6,8.97427302691796,0.8810722902432451,34.07733699551959,0.2681265311884115,28.328202051923995,0.18775981444272458,6e-5,6,34.5
24,8.396113032956919e-5,5.347793135157263e-6,6.266309404118249,0.4420012634148426,45.603108817233725,1.5146252266961489,37.166805947314934,1.1650642348477307,9e-5,7,44.5
25,2.921512406760849e-5,7.354516279071659e-6,1.5235023558012157,4.149156060814666,29.179091154114477,0.5853676510531716,23.500726861563553,0.28080189825347873,3.0000000000000004e-5,3,29.5
27,2.5406099899602904e-4,1.1619438241224358e-5,16.964007840654634,0.1428543749773058,33.49529164285495,0.3256990823691873,29.18756237719136,0.23891736671646477,2.5000000000000006e-4,17,33.5
28,1.0920473074871075e-4,8.433474782126343e-6,15.373844573739284,0.36878374606205117,34.383257438922946,0.41791497743209755,29.58369348803506,0.2913092630716459,8e-5,14,35.5
29,2.1231632977933296e-4,9.745411210905448e-5,16.92813419952575,3.0115229365193623,36.50898914233533,0.8015722286075007,31.521415577639477,0.6919690087444409,2.1e-4,17,36.5
30,1.6074480177316768e-5,2.2784217631410977e-5,16.714300840830848,2.1489095425093496,77.80815085260174,121.34941414300505,64.16823068484209,96.38576689274109,3.0000000000000004e-5,18,46.5
31,6.999702843311533e-5,1.7495193681591013e-6,8.794160088130207,0.3418031006432862,41.29602725909353,0.1067158378035404,34.04665662904123,0.07858387284598971,7.000000000000001e-5,9,41.5
32,8.29903736078486e-5,2.3185863930658155e-5,11.121164641014527,2.13408752264153,43.532502646861,4.1134979113296835,36.140344326428625,3.0294837296047423,9e-5,12,42.5
33,1.8622964793480842e-4,1.1628332741964925e-5,13.015538298585222,0.3360781669647895,35.14441384905668,0.5150057436835874,29.78103096561057,0.3791058832125256,2.2e-4,14,34.5
34,8.535666489159881e-5,3.490532637981831e-6,9.158743115509532,0.3618225745617946,33.60704597882234,0.14101705059148434,27.980736909417818,0.10513476175963912,9e-5,10,33.5
35,5.8605911118654467e-5,2.6187598836779386e-6,7.474518899612253,0.21373894273341548,37.59909134626656,0.7494111367514082,30.929453772377077,0.5793921721790046,6e-5,8,37.5
37,1.5313668357512734e-4,1.8456795723391784e-5,10.134892386313023,0.505997330586386,37.24092254143005,2.1265835713593964,31.004239498026266,1.6592995924076763,1.5000000000000001e-4,10,37.5
38,5.012281669606165e-5,3.923003408752063e-5,7.240395092620776,9.555349488732897,35.61163683566155,4.083463017507101,29.31535908002101,2.642998937252649,6e-5,9,34.5
39,6.038091157355636e-4,3.631078860117883e-5,22.234272330409627,0.2632605457746496,36.08489090822726,0.13693014052342672,32.26041785696606,0.08703759360394638,4.8000000000000007e-4,21,36.5
40,2.4667649254031835e-4,1.5265267901279642e-005,7.350666427360301,0.597460020396441,30.044594720797246,0.08686950547701167,24.898040731525768,0.09966186620404273,1.2e-4,-4,30.5
42,3.784241739810561e-4,1.1213667278364413e-4,6.155350260606692,2.179486724274108,27.01709148665248,1.2067243115967812,22.327619762932066,0.8030970362450646,3.3000000000000005e-4,5,27.5
43,1.3993870140601903e-4,1.528702038075215e-5,17.841059908221478,0.6129127748694299,37.97374891830616,0.5863000418399965,32.82878201770105,0.40850797423388047,1.2e-4,17,38.5
44,1.2567376598731145e-4,3.473317264065941e-5,13.662453531405834,2.0019792690503957,33.61197058782301,1.0205321999814523,28.68293407117085,0.6856589124337583,1.3000000000000002e-4,14,33.5
45,1.4580951080971627e-4,5.8141858837795895e-6,6.879063384516643,0.4094172595832121,31.422373990634746,0.18154817276783558,25.931004318594177,0.1258304642248294,1.4000000000000001e-4,6,31.5
46,1.6504407987094077e-4,5.752128291657781e-6,12.031000300638748,0.31087537852338,38.22164249130955,0.17225703753706934,32.05831214004884,0.129947172363863,1.6e-4,12,38.5
47,2.2588516327523106e-4,1.5427926297038896e-5,14.770900425633759,0.35516277564417575,35.11798164357178,0.39654898951097795,30.05274042557869,0.2849909949853386,2.2e-4,15,35.5
48,1.8e-4,3.8320112641117014e-5,17,0.42409676076423086,30.5,1.817244524167304,26.885927185202274,1.3212735332006755,1.8e-4,17,30.5
49,2.234596258615675e-4,1.35685543894513e-5,12.584728032262348,0.3603323913956065,31.502198171107953,0.2236718435280026,26.845513841795743,0.15340294711177777,1.4000000000000001e-4,9,32.5
50,2.423271607405729e-4,6.94753699098125e-6,10.476550658807508,0.20658435914341547,36.61590454245155,0.2594269084013497,30.557130431435404,0.19529153138323246,2e-4,9,37.5
51,2.8102264879911493e-4,1.8693745136019326e-5,12.968077257036413,0.23358973286810494,33.09236518811294,0.6101551522791949,28.15864470696917,0.4623915962573605,1.7e-4,11,37.5
52,1.9366134716452253e-4,5.259187933876295e-6,10.438378925004631,0.1347288409375032,39.872488421659625,0.4687869868069352,33.13697262451724,0.36163104143225955,1.9e-4,10,39.5
53,1.2550673232845274e-4,1.6936184696272706e-5,5.840598294339113,0.7813211370548602,48.29666991506669,4.364042780733112,39.26832072047992,3.407196789091951,1.5000000000000001e-4,7,43.5
54,3.1794544481443456e-4,1.6558052385797636e-4,14.09563224992977,3.43031873622461,33.12096605500826,2.2409950329408415,28.37220372313634,1.323130728013767,3.0000000000000003e-4,14,33.5
55,6.17506128510605e-5,2.4240946782306677e-5,1.9731123213118704,1.4964506906004382,93.37554651839964,44.63091886216934,74.90038203548363,35.55738168295386,2.7000000000000006e-4,11,37.5
56,8.17292151311297e-5,1.806692159858654e-5,2.8628925868198762,2.293473620624338,46.451727950891154,4.513851234774246,37.45904644581826,3.4063098683991937,1.7e-4,10,38.5
57,1.0856031300545496e-4,1.9113110316759906e-5,6.38122548163567,1.5835530158109519,45.16370946719872,3.100189694768407,36.82961516089215,2.323499504202152,1.8e-4,10,39.5
58,7.044255158125787e-5,1.2260360217936494e-5,-1.0531458207734257,1.8477216266221392,59.18034531689225,6.559819452009094,47.240122643644135,5.0812795181582064,1.2e-4,5,46.5
59,3.517004218442901e-4,1.0176815514638091e-4,7.7288644797150505,2.6686516971354943,28.223771572949126,0.3243237421732188,23.503982914090315,0.3999109122683726,3.1000000000000005e-4,7,28.5
