study,a_est,a_se,Tmin_est,Tmin_se,Tmax_est,Tmax_se,Value,Topt_se,a,Tmin,Tmax
1,7.439169380933802e-5,8.497647750077502e-6,3.3517499748184587,1.3122702475199253,33.512469403500674,0.44863378065268034,27.16718592662238,0.34441364387936463,8e-5,4,33.5
2,3.5604091714998165e-5,4.682427990773409e-6,10.70133523763218,0.839499981501478,36.09449492777949,1.3899374360997634,30.17637461116532,1.0267441532764847,4e-5,12,35.5
3,3.1036469829911584e-4,2.514571023953586e-5,12.691532657831058,0.1280395905086455,28.495516917346162,0.7178623041097405,24.508976848320497,0.5583259673512114,3.2e-4,13,28.5
4,8.133105404671373e-5,2.037782459649634e-5,8.79488762071825,1.7039167512110027,37.21580569225141,3.1196024011014942,30.79862307582515,2.3099272080253854,1.1e-4,11,34.5
5,2.4375889256344897e-4,1.613266468903935e-5,5.5262728174038145,0.3944973450092558,33.00048194690883,0.8448420634622058,27.015973907747735,0.6372296186219703,2.6000000000000003e-4,6,32.5
6,1.408745385412529e-4,6.983527053325876e-5,13.569268113183785,4.1257799287999,33.59678343771208,2.1821259961037125,28.655294299182156,1.1723183426003685,1.5000000000000001e-4,14,33.5
7,1.1695445744617048e-4,1.5625920321445063e-6,16.42454865489902,0.08577672814542645,33.26082430154518,0.01900909967734621,28.903014144298474,0.018587283594078824,1e-4,15,33.5
9,8.951632781987048e-5,5.144721587775812e-5,-1.9663425502594056,8.59129679954217,38.44717413206522,6.226243080101653,30.567232552267917,4.288790895482243,8e-5,-4,39.5
11,3.2532035737721374e-4,7.010185986880008e-5,14.01083414135273,1.4561086478583016,30.08771994122927,0.5359285604934237,25.988312916100302,0.4497120104820014,1.6e-4,8,30.5
12,2e-5,1.4245146524693693e-5,-3,13.473325319400761,30.5,2.552863211996521,24.117566071606575,1.4407655850853147,2e-5,-3,30.5
16,8.865663798169482e-5,7.689613511765574e-6,12.848483225959074,0.5227424854400561,34.48989047264676,0.7204321504526884,29.238558776941783,0.5077365030086699,9e-5,13,34.5
17,5.826759792935466e-4,1.7542023752489212e-5,17.678839907545854,0.1270268527849763,30.226047418287315,0.03790315026628688,26.817930155037025,0.03481006267742109,4.8000000000000007e-4,17,30.5
18,1.337290416243323e-4,5.215124381598366e-6,16.19060663927633,0.31759813778388085,39.02732176716737,0.19922727372287835,33.359702904638795,0.13159461854043744,1.5000000000000001e-4,17,38.5
19,3.199763280415874e-4,6.203807112938575e-5,19.11379769697562,0.6940700616832979,28.985378934994692,0.6215427381789811,26.197416954780635,0.4140431987466429,2e-4,18,30.5
20,9.201602022702029e-5,1.4220998811995574e-5,8.428229753276575,1.0849577541585287,28.18368589366184,0.605608649455603,23.57323830494422,0.4002148220387512,5e-5,4,30.5
22,1.66435926931739e-4,3.4874509434436514e-6,8.747806791005381,0.11362796940154743,33.690449586513736,0.22270484356435413,27.989162966405143,0.17090528312136852,1.7e-4,9,33.5
23,7.334487547683553e-5,5.9285000840952065e-6,8.974273390027303,0.8810722696024467,34.07733693563082,0.26812651500626966,28.328202055254756,0.18775980554538182,6e-5,6,34.5
24,8.396112951362195e-5,5.347792727496258e-6,6.266309335843709,0.4420012159799819,45.60310902976157,1.5146251633214873,37.16680610892089,1.1650641904234307,9e-5,7,44.5
25,2.921512731225165e-5,7.354502106543831e-6,1.5235042188772911,4.1491463426273985,29.179090950276166,0.5853670504592106,23.500726897484075,0.28080177831088154,3.0000000000000004e-5,3,29.5
27,2.540609989991614e-4,1.1619438478397552e-5,16.964007840690073,0.14285437829393965,33.49529164278972,0.32569908554547966,29.187562377147678,0.2389173685220181,2.5000000000000006e-4,17,33.5
28,1.0920473079479517e-4,8.43347455017618e-6,15.373844576126617,0.36878374010085063,34.38325743727203,0.41791496540929984,29.583693487171388,0.2913092556749069,8e-5,14,35.5
29,2.123163269211888e-4,9.74541116798071e-5,16.928134134237958,3.011522971840669,36.508989154943094,0.8015722539806955,31.521415575579386,0.6919690189069801,2.1e-4,17,36.5
30,1.6074485266595657e-5,2.27842141503058e-5,16.71430129545836,2.1489092071235745,77.80812375161771,121.34928485805825,64.16820916067545,96.38566358168109,3.0000000000000004e-5,18,46.5
31,6.999702820958906e-5,1.7495193106397368e-6,8.794160043990884,0.3418030963513579,41.29602726617135,0.10671583672337591,34.04665662888398,0.07858387339553195,7.000000000000001e-5,9,41.5
32,8.299037219656787e-5,2.3185864527012745e-5,11.12116450285635,2.134087613303024,43.5325028591338,4.113498205465492,36.14034447596085,3.0294839506537934,9e-5,12,42.5
33,1.8622964860776794e-4,1.1628332786879555e-5,13.015538317693157,0.3360781608174513,35.144413828876075,0.515005747056612,29.781030952795295,0.3791058859454683,2.2e-4,14,34.5
34,8.535666505562716e-5,3.490532613185105e-6,9.158743134265011,0.36182256979216293,33.607045976292525,0.1410170508611077,27.98073691007038,0.1051347617913975,9e-5,10,33.5
35,5.860591053041957e-5,2.618759946924657e-6,7.4745188535277745,0.21373894847385708,37.59909148866271,0.7494111800010699,30.929453879925425,0.5793922056974994,6e-5,8,37.5
37,1.5313668377930624e-4,1.84567955600339e-5,10.134892390739227,0.5059973243391082,37.240922520399785,2.126583554249468,31.0042394819572,1.6592995802582071,1.5000000000000001e-4,10,37.5
38,5.0122819055729394e-5,3.923003589298619e-5,7.240395734197366,9.55534885792756,35.61163668316619,4.08346283089009,29.315359041686484,2.642998784666308,6e-5,9,34.5
39,6.038091157355636e-4,3.631078952645788e-5,22.234272330409627,0.263260549804926,36.084890908227266,0.13693014260875372,32.26041785696606,0.08703759390687547,4.8000000000000007e-4,21,36.5
40,2.4667649374836254e-4,1.5265268053876154e-5,7.3506664732313025,0.5974600209310491,30.04459471911348,0.08686950360449507,24.898040736462598,0.09966186551324366,1.2e-4,-4,30.5
42,3.78424177577157e-4,1.1213666854336955e-4,6.155350330035045,2.179486607097541,27.017091457855535,1.2067242436013912,22.327619749304525,0.8030970008918955,3.3000000000000005e-4,5,27.5
43,1.3993870023548598e-4,1.5287020291840332e-5,17.84105987060308,0.6129127817432417,37.97374895761972,0.5863000326973846,32.82878204139933,0.40850796803424566,1.2e-4,17,38.5
44,1.2567376891952435e-4,3.4733173333034924e-5,13.662453700227987,2.001979241743909,33.61197053299808,1.0205321454630827,28.682934056681574,0.6856588739019631,1.3000000000000002e-4,14,33.5
45,1.458095109599446e-4,5.814185937825497e-6,6.879063395457393,0.4094172723935061,31.42237398796217,0.18154816862081474,25.931004317913583,0.12583046052369234,1.4000000000000001e-4,6,31.5
46,1.6504407993132291e-4,5.752128270862292e-6,12.031000307609508,0.3108753769517834,38.22164249157145,0.17225703821928642,32.058312141301286,0.1299471723422481,1.6e-4,12,38.5
47,2.2588511929653345e-4,1.5427927567420096e-5,14.770899600219565,0.3551628823054056,35.1179825663984,0.39654920598756666,30.052741006416674,0.28499114990619695,2.2e-4,15,35.5
48,1.8e-4,3.8320112623032013e-5,17,0.42409676064046314,30.5,1.8172445230565686,26.885927185202274,1.3212735323792497,1.8e-4,17,30.5
49,2.2345962688945638e-4,1.3568554078969974e-5,12.584728064184402,0.36033238080511926,31.502198161493986,0.22367183788979308,26.845513839591877,0.15340294430174248,1.4000000000000001e-4,9,32.5
50,2.4232716083234804e-4,6.947537034443499e-6,10.47655065739446,0.2065843628899122,36.61590453498627,0.25942690896988024,30.557130425309794,0.19529153120870307,2e-4,9,37.5
51,2.8102264906529014e-4,1.8693745334930105e-5,12.968077260346167,0.23358972417649645,33.092365175380245,0.6101551742463059,28.158644697510926,0.4623916138949618,1.7e-4,11,37.5
52,1.936613469781936e-4,5.259188190590511e-6,10.438378919692006,0.13472884852881634,39.872488432634654,0.468786989532369,33.13697263249304,0.36163104249429423,1.9e-4,10,39.5
53,1.2550673396443177e-4,1.6936181736857732e-5,5.840598403592749,0.7813209487591586,48.29666962304831,4.364042211451005,39.268320499901414,3.4071963563804264,1.5000000000000001e-4,7,43.5
54,3.179454448143567e-4,1.6558052829271144e-4,14.09563224992719,3.4303188524657666,33.1209660550077,2.2409951121803195,28.372203723135453,1.3231307663728664,3.0000000000000003e-4,14,33.5
55,6.175092792792324e-5,2.424085159146708e-5,1.973131131015102,1.4964443952015503,93.37496908007051,44.63008372658908,74.89992203272861,35.55671414803153,2.7000000000000006e-4,11,37.5
56,8.172918045539023e-5,1.806691370506806e-5,2.8628881024151536,2.2934738304252624,46.45173564966826,4.513854593377454,37.45905211826583,3.406312581247687,1.7e-4,10,38.5
57,1.0856027725215224e-4,1.911311375557194e-5,6.381222544309869,1.583553853101105,45.163714739745,3.1001927292623113,36.82961901989056,2.323501847972843,1.8e-4,10,39.5
58,7.044256017827746e-5,1.2260365043859889e-5,-1.0531444783187203,1.8477211555608641,59.18034100096979,6.559822130444339,47.240119322288876,5.081281679035524,1.2e-4,5,46.5
59,3.517004215035803e-4,1.0176815407876951e-4,7.728864478358812,2.668651707509127,28.223771573515627,0.32432374179590706,23.50398291434728,0.3999109145398636,3.1000000000000005e-4,7,28.5
