study,a_est,a_se,Tmin_est,Tmin_se,Tmax_est,Tmax_se,Value,Topt_se,a,Tmin,Tmax
1,7.439169142887158e-5,8.497648243779265e-6,3.3517495826349664,1.3122703902638126,33.5124694485423,0.44863381160572824,27.167185918118513,0.344413663512377,8e-5,4,33.5
2,3.560409242054218e-5,4.682428012137599e-6,10.701335360688933,0.8394999841193481,36.094494756771326,1.3899373136543978,30.176374493632512,1.026744055389607,4e-5,12,35.5
3,3.103646980843064e-4,2.514571030540357e-5,12.69153265747585,0.12803959831704279,28.495516922405297,0.7178622802619993,24.508976852208225,0.5583259486403004,3.2e-4,13,28.5
4,8.133105583491818e-5,2.037782538491001e-5,8.794887760302036,1.703916842425024,37.21580543054508,3.1196021595416634,30.79862288650606,2.309927004090607,1.1e-4,11,34.5
5,2.437588952213212e-4,1.6132664777021182e-5,5.5262728827143714,0.39449733689417393,33.00048183009729,0.8448420660346789,27.015973822623494,0.6372296212593643,2.6000000000000003e-4,6,32.5
6,1.4087453251147028e-4,6.983526461624066e-5,13.569267761613006,4.125779885759119,33.59678361259744,2.182125982376402,28.65529437723519,1.172318365506842,1.5000000000000001e-4,14,33.5
7,1.1695445777753061e-4,1.5625920022098309e-6,16.424548672240945,0.0857767248236899,33.26082430008806,0.019009099982011737,28.90301414644903,0.018587283371537183,1e-4,15,33.5
9,8.95163216385585e-5,5.1447213937589165e-5,-1.9663435635628617,8.591298656676953,38.44717484439828,6.226242732042878,30.56723302692874,4.28879053774433,8e-5,-4,39.5
11,3.253203539218991e-4,7.010186071150978e-5,14.01083407607883,1.4561086765959697,30.087719960598946,0.5359286228046738,25.988312919275494,0.44971204711534185,1.6e-4,8,30.5
12,2e-5,1.4245145778653732e-5,-3,13.473324680420076,30.5,2.5528630823036713,24.117566071606575,1.440765568052115,2e-5,-3,30.5
16,8.865663968481717e-5,7.689613818282164e-6,12.848483339633423,0.5227424882126083,34.489890334138096,0.7204321477292066,29.238558686243824,0.5077364984156758,9e-5,13,34.5
17,5.826759792933958e-4,1.7542023591108944e-5,17.678839907543395,0.12702685285236706,30.226047418287344,0.037903150177287515,26.817930155036528,0.03481006274010121,4.8000000000000007e-4,17,30.5
18,1.3372904197607612e-4,5.215124485250836e-6,16.19060665809317,0.31759814279465365,39.02732175592947,0.19922727480409688,33.35970289904411,0.1315946184864877,1.5000000000000001e-4,17,38.5
19,3.1997632726307555e-4,6.203807477516225e-5,19.113797689012127,0.6940700697001845,28.985378941110984,0.6215427811128342,26.197416957519284,0.41404322129602295,2e-4,18,30.5
20,9.201602155256752e-5,1.4220999117989168e-5,8.428229848641683,1.0849577456179265,28.183685848769194,0.6056086551438757,23.57323828337475,0.4002148228412868,5e-5,4,30.5
22,1.6643592736827764e-4,3.487450825358597e-6,8.74780680190918,0.11362797099621363,33.69044956560882,0.2227048341006504,27.989162951316434,0.1709052758291907,1.7e-4,9,33.5
23,7.33448756344892e-5,5.928499959587589e-6,8.974273417579216,0.8810722689736742,34.07733693349614,0.26812651244756636,28.328202057421567,0.18775980463744088,6e-5,6,34.5
24,8.39611282435562e-5,5.34779293510741e-6,6.266309236318073,0.44200123344968345,45.60310937655488,1.5146252830901505,37.16680637403677,1.1650642839914815,9e-5,7,44.5
25,2.9215137141941213e-5,7.354512051568949e-6,1.5235098308875845,4.149149710133237,29.179090313611802,0.5853672080365441,23.500726987563564,0.28080174729010043,3.0000000000000004e-5,3,29.5
27,2.540609989964818e-4,1.1619438131833544e-5,16.964007840659757,0.14285437410496316,33.49529164284552,0.3256990814535097,29.187562377185042,0.23891736619231224,2.5000000000000006e-4,17,33.5
28,1.0920473093815793e-4,8.433474640682222e-6,15.373844581642997,0.36878374047872964,34.38325743110489,0.41791496960618046,29.58369348333906,0.29130925853682416,8e-5,14,35.5
29,2.123163285159427e-4,9.74541098624579e-5,16.928134164788993,3.0115228863589207,36.50898914751152,0.8015722312271542,31.52141557535008,0.691969013561456,2.1e-4,17,36.5
31,6.999702851859351e-5,1.7495193462888495e-6,8.794160103802755,0.34180309777167334,41.29602725642613,0.10671583676057443,34.04665662897418,0.07858387286187661,7.000000000000001e-5,9,41.5
32,8.299037330431983e-5,2.3185862500560778e-5,11.12116461108299,2.134087525829569,43.532502690784085,4.1134975535158835,36.140344357183054,3.029483453137163,9e-5,12,42.5
33,1.862296478228231e-4,1.1628332783913008e-5,13.015538294329202,0.3360781657806322,35.14441385111993,0.5150057507325952,29.781030966549586,0.37910588824819735,2.2e-4,14,34.5
34,8.535666502247791e-5,3.490532572630682e-6,9.158743130045542,0.36182256705103666,33.60704597641126,0.14101705071753837,27.980736909565984,0.10513476161366694,9e-5,10,33.5
35,5.860591077829225e-5,2.6187598462609175e-6,7.474518872459941,0.21373893926345458,37.599091427269066,0.7494111526980202,30.92945383343553,0.579392185157537,6e-5,8,37.5
37,1.5313668414578663e-4,1.8456796083571047e-5,10.134892401717108,0.5059973322290279,37.24092249303807,2.126583592130069,31.00423946179045,1.6592996078203701,1.5000000000000001e-4,10,37.5
38,5.012282291945031e-5,3.923003767036077e-5,7.240396777234275,9.555347933457432,35.611636467913016,4.083462364133406,29.315359005392907,2.642998469040007,6e-5,9,34.5
39,6.038091157355619e-4,3.631079009605936e-5,22.234272330409617,0.26326055302115947,36.084890908227266,0.13693014654838154,32.26041785696606,0.08703759492084923,4.8000000000000007e-4,21,36.5
40,2.466764935581269e-4,1.5265268551770486e-5,7.350666466012062,0.597460039490745,30.04459471916534,0.08686950370757912,24.898040735516144,0.09966186731122675,1.2e-4,-4,30.5
42,3.784241815702807e-4,1.1213667172750214e-4,6.155350408700537,2.1794866360137086,27.01709142579171,1.2067242426267848,22.327619734313135,0.8030969920586375,3.3000000000000005e-4,5,27.5
43,1.399387010265752e-4,1.5287020561633882e-5,17.84105989537355,0.6129127782131097,37.97374893053274,0.5863000365583532,32.82878202486057,0.40850796992814503,1.2e-4,17,38.5
44,1.2567376818198604e-4,3.473317189789626e-5,13.662453654188077,2.0019791929787503,33.61197054146762,1.0205321589622003,28.682934055546873,0.6856588905622115,1.3000000000000002e-4,14,33.5
45,1.4580951087770177e-4,5.81418536471101e-6,6.879063389662835,0.4094172332513459,31.4223739897175,0.18154817098400897,25.93100431854466,0.12583046445838414,1.4000000000000001e-4,6,31.5
46,1.6504408049795697e-4,5.752128289603561e-6,12.03100033316808,0.3108753731676321,38.221642482565684,0.17225703564978914,32.0583121380048,0.12994717072209477,1.6e-4,12,38.5
47,2.258851200050758e-4,1.5427927665440412e-5,14.770899614639601,0.35516288270395807,35.11798255210745,0.3965492003741849,30.052740997703655,0.2849911456837942,2.2e-4,15,35.5
48,1.8e-4,3.832011264693595e-5,17,0.4240967608136331,30.5,1.8172445245067397,26.885927185202274,1.3212735334504537,1.8e-4,17,30.5
49,2.2345962606402437e-4,1.3568553734804531e-5,12.584728038586576,0.3603323832135262,31.502198168447336,0.22367183498425464,26.845513840765488,0.15340294331841012,1.4000000000000001e-4,9,32.5
50,2.4232715898063568e-4,6.947537139627851e-6,10.476550609183176,0.2065843698248369,36.61590458382088,0.2594269103067029,30.55713045708307,0.19529153189709256,2e-4,9,37.5
51,2.8102265020077107e-4,1.8693745170943927e-5,12.968077269674508,0.2335897299252308,33.09236514252873,0.610155144713462,28.158644673238587,0.4623915904789951,1.7e-4,11,37.5
52,1.9366134718409056e-4,5.259187852647748e-6,10.438378924998899,0.13472884234048135,39.87248841890719,0.46878697206665526,33.13697262232977,0.36163102960888543,1.9e-4,10,39.5
53,1.2550673516425508e-4,1.6936183604152625e-5,5.840598415136444,0.7813210587089728,48.296669184705344,4.3640424519734955,39.26832015102475,3.407196534813547,1.5000000000000001e-4,7,43.5
54,3.179454411996933e-4,1.6558052589501815e-4,14.095632175579569,3.4303188541010887,33.12096609850612,2.240995087989899,28.37220374431025,1.3231307552553615,3.0000000000000003e-4,14,33.5
55,6.175053771387777e-5,2.4240972887938066e-5,1.9731076397720997,1.4964523451493748,93.37568386540296,44.63112291733492,74.90049142845396,35.557544776161166,2.7000000000000006e-4,11,37.5
56,8.172918217952086e-5,1.8066917307534073e-5,2.862888423431996,2.2934740447899524,46.45173548838216,4.513855255488455,37.45905202397002,3.406313073202282,1.7e-4,10,38.5
57,1.08560278992474e-4,1.9113113474311603e-5,6.381222693734221,1.5835538161382574,45.1637145000113,3.100192619699294,36.82961884632728,2.3235017646065215,1.8e-4,10,39.5
58,7.04425750871002e-5,1.2260364628650859e-5,-1.0531421845687359,1.8477209328644366,59.18033341591672,6.559817028313469,47.24011347873414,5.081277618890366,1.2e-4,5,46.5
59,3.517004241917843e-4,1.0176815234052018e-4,7.728864554453864,2.668651582572684,28.22377157127204,0.32432373940997916,23.50398292338119,0.3999109006709944,3.1000000000000005e-4,7,28.5
